"distr_id","amount","epoch_no","active_until","drep_id","raw","view","has_script"
"5930","19761186957",522,527,"1895","binary data","drep1qjj5qs8aynj9aj5csp7vgk5xpaxykcenk5dnrync444dggyfuqr",False
"5931","852085394621",522,529,"5583","binary data","drep1qh4xalyhysjwl4zf66vtjm958vm8h8cykuhqrc2fcey2jnmtvdx",False
"5932","5665736930",522,531,"7742","binary data","drep1qequkus44n8wwhz5jjgvpdj75ru8lgmn39sy8psa9q2kcw63v69",False
"5933","1178238120378",522,527,"889","binary data","drep1qufe0rxxke9a6de2jz62ssr9lh7qdd72ywd0wu0tascqvmhpxel",False
"5934","3402809183",522,528,"3181","binary data","drep1qa4ez2gycz86vy3a44lw0k6gjnq9fha5xfzr80czwrqpwlqvxmx",False
"5935","38504626854",522,535,"5746","binary data","drep1q76muv57z3lwkkqnyzzvhlnsmhkv472dl2e2dap62g5du7r9wde",False
"5936","5006635722",522,528,"4155","binary data","drep1pz7q3jezaha3tyfymkuw4qmgx7xjy44rpnqzpw2zaav2qkd548m",False
"5937","45845913084",522,537,"13292","binary data","drep1prejlewe89yjue358hhv5pm9fe25vpscgf9xxzkxg8j76cjtk7z",False
"5938","1487927417",522,529,"5474","binary data","drep1p9fky6thpkr4fmq620txxmws67za4h5p7mqxvsnnsjg2gvxkgyq",False
"5939","31464092",522,527,"798","binary data","drep1p2kzkkz0mphapp8zww0cu3gv5k6j0znmplmjt7txlf4vqvdh9qh",False
"5940","5955587890",522,540,"17254","binary data","drep1psqtnme0r6tmzlcwj6lwd5jd9khnhgnhkeez92e4fct4wlp3fnw",False
"5941","177916001161",522,540,"17357","binary data","drep1p3yfyl3hsez09zkz5fj5an5ullhprdxhz3tq26fpfl4p258xyj9",False
"5942","3446278158",522,528,"3058","binary data","drep1pn7hetvqplnxhx8h86r44n93d0sza5pldwpe4fw2wx92sv4j5k8",False
"5943","29284558403494",522,539,"15720","binary data","drep1pk0t0dhcs3vv6juetycqn6fhgfr8h670atffmelw22llj7ksvpt",False
"5944","51039528888",522,535,"10392","binary data","drep1phxj32fgskmc7jwe76s6uugz86zuzmzfnzl5uk3aekmgwqxltc6",False
"5945","2886832009822",522,529,"4895","binary data","drep1phvyckc7tqqlftyxqvp9fjdgczac4swsc7ssj26h785uxhwx0tt",False
"5946","1945863",522,527,"1227","binary data","drep1phescp0plhtdvh55jv5yghheddpfx43x3y8d9dw8step5frdqa8",False
"5947","704279467986",522,540,"179","binary data","drep1pmy58hz70shnprfexg4z6ykfxnavtv5jdemvvl5yktydzml6wlq",False
"5948","3146509748",522,529,"5676","binary data","drep1pa2swx9szn9s8qdlpv646u7vce46uaavwhhmvkk56std52m864q",False
"5949","123771442697",522,536,"12108","binary data","drep1paamjlvwscwkjkncxg6jflvxu03ujf97sw9rzwc49ukdsl25x5n",False
"5950","103265285",522,536,"12148","binary data","drep1p7xg2538y450rfw832r4vqcn7lxhk9dndra5rvl644tvw257rw6",False
