epoch_no,drep_view,new_delegators,new_delegators_lag2,voting_power_lovelace
508,drep124y585l728ryltw9tyee46dlc3wcyyeasf0pevypaylgcut7quh,0,0,
508,drep125s4lx920k0z38fptf2lvtf933kr5udts3ahdh5am0nxzcqwua9,47,0,3900031795163.0
508,drep126500kjc03c4sag4xwh35cpj9s7r5s3p8efckr8vy997sc9zpvh,0,0,
508,drep1267nyk448adm7ac0s9ywjhpka7gwwtlegx5lep6g0667zx8v0kg,0,0,4335171032.0
508,drep126afhglecttwfapqmd8s4hazd586zysj9q3dmyngjhtxk4p2hzz,0,0,
508,drep127607xtcn8jsu7z8re495eqrpj92atdgvrcrkxhk02fjvx0l43e,0,0,
508,drep127cju8sfz0ly2v4sl4xfuv96n8jhcm6epwyn9ppxgrd3w6c8r28,0,0,
508,drep127e5qm0x52pd2k6tga4avdrp2n8hyr8pmxsnrjmxc59v2klgec8,0,0,
508,drep127egenn6ahk7ukkv3jafzr8k6tyspyhyz8qhx3dpmgtl2q87nse,0,0,89656956176.0
508,drep127pc58jyky40fvess0c4tjxkrnkf8ta3sfltvm4ptypqc5fgav3,40,0,4789152171324.0
508,drep1282plqyhhd3kmvr4hru0l95ld95gjj7dfjhwkcssj5pp2mf4quy,0,0,
508,drep128gmu25l3n4ypzm252rfhlhy8lx5kaaa9ht55n2wwngc6vfj8ze,0,0,
508,drep128jj5cn54vrgykx4dh76yd6ysznmca4465zyeanvs0vavrd3fv4,0,0,
508,drep128vyp05qxvnrtv63p0tckzw6c0cf8n99q4u9fxsmzzn2xg6jzla,0,0,
508,drep1294mgyvmvt42asr3vchq23vf6zhcgy8pnwxer9eguxfujmqhx8y,0,0,
508,drep12986jd4g2c98f4wpmknpqsczf2r4227ve3l3c8q406305r3j4x2,0,0,
508,drep12a486rxd2zy6e8qefuwls7nuwc9h8u43c580q0rjf0xdjhlqge6,0,0,
508,drep12a70cvh5tw5phkuhrvzk2ugg3vxdxsq5xsd4ysvgjshezsqeawh,0,0,1140157128998.0
508,drep12c4pxse36uk0986hgf3n08raacdxd79hrk7g6dcxs8sgqp4zjhz,0,0,
508,drep12d5ahxfwwezh6xf38gfgkkus2kr9ljxg65flmkaa8gkq72vkypc,0,0,
508,drep12dslal3veyszs8k8rnkaluk58l88cx4errkaksu3n9px6r6nkhp,0,0,
508,drep12ejv0g4wtexcgvzp5lcpkzpvjwwk95cn56vfu8mhqmuwuwrkrf3,0,0,
508,drep12ezrfwhqtrva6gvs7lu5ks6z55hfla4g675zzps8fw3jwamdxtr,0,0,22951388.0
