epoch_no,drep_view,new_delegators,new_delegators_lag2
559,drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,40,54
560,drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,47,51
561,drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,47,40
562,drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,42,47
563,drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,30,47
564,drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,23,42
565,drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,21,30
566,drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,33,23
567,drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,35,21
568,drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,34,33
569,drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,67,35
570,drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,67,34
571,drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,62,67
572,drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,47,67
573,drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,35,62
574,drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,28,47
575,drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,45,35
576,drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,66,28
577,drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,38,45
578,drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,27,66
508,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
509,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
510,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
511,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
512,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
513,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
514,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
515,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
516,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
517,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
518,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
519,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
520,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
521,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
522,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
523,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
524,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
525,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
526,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
527,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
528,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,1,0
529,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
530,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,1,1
531,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
532,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,1
533,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
534,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
535,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,1,0
536,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
537,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,1,1
538,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
539,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,1
540,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
541,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
542,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
543,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
544,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
545,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
546,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
547,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
548,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
549,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
550,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
551,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
552,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
553,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
554,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
555,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
556,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
557,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
558,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
559,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
560,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
561,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
562,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
563,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
564,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
565,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
566,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
567,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
568,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
569,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
570,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
571,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
572,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
573,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
574,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
575,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
576,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
577,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
578,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0
508,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
509,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
510,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
511,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
512,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
513,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,1,0
514,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
515,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,1
516,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
517,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
518,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
519,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
520,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,1,0
521,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,4,0
522,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,4,1
523,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,3,4
524,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,1,4
525,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,1,3
526,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,1
527,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,1
528,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
529,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,2,0
530,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,3,0
