hash,bech32,name,ticker,valid_meta,itn,impersonator,active_stake,live_stake,owner_stake,delegator,block_epoch,total_block,block,margin,fixed_cost,pledge,reward_amount,pool_fee,reg_time,ros,mithril,cluster_name,cluster_order,retiring_epoch
aa1c56d0973268bd5b4758181e96971f51cf1c9c20fdfd95022b4ad3,pool14gw9d5yhxf5t6k68tqvpa95hragu78yuyr7lm9gz9d9dx2yz9s4,European ADA Pool,EUADA,True,False,False,11697410668,11697410668,8885249420,24,4,4,0,0.015,340000000,8850000000,1450309997,1382085937,1613337317,"{'0': '0.0158', '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,,,
aa3c4307380854c5aa93c7b725a4e0a20f38e94e35a0c098544dd71a,pool14g7yxpecpp2vt25nc7mjtf8q5g8n362wxksvpxz5fht35khqs0t,ETIRUCE POOL #1,EPOOL,True,False,False,1091573373,1367894557,10000000,4,0,0,0,0.1,340000000,10000000,0,0,1613322325,"{'0': 0, '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,,,
875fcc858ae09cd7a0f0bd3f69090eb60c344455dd1c4121372c4337,pool1sa0uepv2uzwd0g8sh5lkjzgwkcxrg3z4m5wyzgfh93pnwupsm8g,Pimp my Cardano,PIMP,True,False,False,1763331083,1763331083,1292868508,3,0,0,0,0.015,345000000,50000000,0,0,1613321637,"{'0': 0, '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,,,
b4122e4d02a6986e9604d5c74ab2974e80638f78e6bd1aa01b883e6e,pool1ksfzungz56vxa9sy6hr54v5hf6qx8rmcu6734gqm3qlxucveed6,EUSKL POOL,EUSKL,True,False,False,338801917550,338801268992,75381767410,239,152,304,0,0,340000000,5000000000,107669786487,51692320427,1613297568,"{'0': '0.0229', '1': 0, '2': 0, '3': 0, '6': '0.0006', '12': '0.0017', '18': '0.0106', '36': '0.0056', '73': '0.0053'}",False,,,
f6f5cce8780793b6182c1a9502f370c205f7793c2148e1d84352c73c,pool17m6ue6rcq7fmvxpvr22s9umscgzlw7fuy9ywrkzr2trncnj5nx9,Finanovate ADA Staking Pool,FIADA,True,False,False,0,0,0,0,0,0,0,0.15,340000000,2000000000,0,0,1613273575,"{'0': 0, '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,,,
56b8ba4a80151c87961230e5c46e570121f47765c125eeabd4214bfd,pool126ut5j5qz5wg09sjxrjugmjhqyslgam9cyj7a275y99l6n3gql0,BIOME Pool,BIOME,True,False,False,6542797301,6542797301,1210482,10,0,0,0,0.02,340000000,10000000000,0,0,1613267587,"{'0': 0, '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,,,
9e20b3cbed16dddac0feaf226a83d0c824404672c1cbd5394fa6b6a2,pool1ncst8jldzmwa4s874u3x4q7seqjyq3njc89a2w2056m2ywktd6w,Proud Staking,PROUD,True,False,False,306331688,306331688,53738926,4,0,0,0,0.99,340000000,0,0,0,1613266444,"{'0': 0, '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,,,
f765c73fa3700f6fa735310ebc0255265613db23fd7bb14e8d84e795,pool17ajuw0arwq8klfe4xy8tcqj4yetp8kerl4amzn5dsnne20wlnsa,ELLADA,HELAS,True,False,False,36127816550,36127816550,6780084325,340,8,8,0,0,340000000,10000000000,2702446775,2720000000,1613252991,"{'0': '0.0071', '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,,,
0505da3db180fcff1adb92c8383d9ed6446248e83f2e8426cf727fef,pool1q5za50d3sr707xkmjtyrs0v76ezxyj8g8uhggfk0wfl77aufd9k,,,True,False,False,1084237796617,1084237796617,742606558912,16,154,484,0,0.01,340000000,725000000000,246431127088,51123963468,1613245453,"{'0': '0.0312', '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': '0.0025', '73': '0.0063'}",False,,,
0236ec1a0769c1b1bd8b6400d2f0e8e206cccd77a3700e5b7cf172a8,pool1qgmwcxs8d8qmr0vtvsqd9u8gugrventh5dcqukmu79e2sgfuu8t,CLAY,CLAY,True,False,False,11676263284047,11727357906159,104218722390,5871,313,5147,6,0.05,170000000,100000000000,2500804811967,195615641490,1613229105,"{'0': '0.0315', '1': 0, '2': '0.0100', '3': '0.0135', '6': '0.0206', '12': '0.0233', '18': '0.0237', '36': '0.0244', '73': '0.0219'}",False,,,
