epoch,delegator_id,opinion,stake,s,drep_id,drep_opinion,switched,delta_u,p_reconsider,p_switch_cond,p_overall
0,a1,0.8021613791819585,0.5901046462560056,0.0579415381650813,d75,0.7913326451339235,0,0.0,0.9420584618349187,0.0,0.0
0,a2,0.6949917013090557,0.8846210516945733,0.6565730051693011,d65,0.6926779692927613,0,0.0,0.34342699483069894,0.0,0.0
0,a3,0.2692813562213851,0.0272629243716092,0.4697372362507852,d20,0.2404475632918323,0,0.0,0.5302627637492148,0.0,0.0
0,a4,0.7088199885277364,0.1967039234691209,0.4805565463703322,d30,0.7084058191016271,0,0.0,0.5194434536296678,0.0,0.0
0,a5,0.6351827309952738,0.0259140629407389,0.9060852198482352,d37,0.6331550625258634,0,0.0,0.0939147801517648,0.0,0.0
0,a6,0.8003499394684527,0.7665686398241233,0.656190366913186,d75,0.7913326451339235,0,0.0,0.343809633086814,0.0,0.0
0,a7,0.4865641471355012,0.0093938442070902,0.3704116758891284,d89,0.4896240178334312,0,0.0,0.6295883241108716,0.0,0.0
0,a8,0.706031958862562,0.8549845795408829,0.3666110936448425,d30,0.7084058191016271,0,0.0,0.6333889063551574,0.0,0.0
0,a9,0.2878394550463845,0.818227400050903,0.1481408400469313,d24,0.3131050727943643,0,0.0,0.8518591599530687,0.0,0.0
0,a10,0.4485375707420678,0.166195155514502,0.198718538461042,d2,0.450241291355605,0,0.0,0.801281461538958,0.0,0.0
0,a11,0.4494356695018643,0.1353882045256951,0.4667795639753679,d2,0.450241291355605,0,0.0,0.5332204360246321,0.0,0.0
0,a12,0.4468071626225224,0.1572002618920641,0.7391813193111519,d35,0.445080705866929,0,0.0,0.26081868068884806,0.0,0.0
0,a13,0.5557682736773393,0.554735728288391,0.8745830646276118,d11,0.5571269770041206,0,0.0,0.12541693537238818,0.0,0.0
0,a14,0.641652608526234,0.2663200099426878,0.4712889118466029,d10,0.6422725194213029,0,0.0,0.5287110881533972,0.0,0.0
0,a15,0.3582613716952206,0.2462685694302714,0.0456628577891138,d18,0.358541673495542,0,0.0,0.9543371422108862,0.0,0.0
0,a16,0.4532230737890989,0.9171320060992326,0.1538677724437196,d29,0.4524106594962402,0,0.0,0.8461322275562804,0.0,0.0
0,a17,0.5125073505258347,0.6604816477039483,0.3542288189166781,d64,0.5114045779888319,0,0.0,0.6457711810833219,0.0,0.0
0,a18,0.4702613483113201,0.7962933698295976,0.8405469873483588,d44,0.4704128653723852,0,0.0,0.15945301265164125,0.0,0.0
0,a19,0.2950693242210354,0.8656743270695759,0.9186114534726724,d24,0.3131050727943643,0,0.0,0.08138854652732763,0.0,0.0
0,a20,0.8106050401162961,0.2833651116144844,0.1169821502862352,d75,0.7913326451339235,0,0.0,0.8830178497137648,0.0,0.0
0,a21,0.3599949277779807,0.0598226059262601,0.8287204492053328,d18,0.358541673495542,0,0.0,0.17127955079466717,0.0,0.0
0,a22,0.678572130351917,0.3214806978413924,0.7101642345283503,d98,0.6867323808101021,0,0.0,0.2898357654716497,0.0,0.0
0,a23,0.3492432422453028,0.158172259065552,0.0626234709298444,d86,0.3533789480454132,0,0.0,0.9373765290701556,0.0,0.0
0,a24,0.4511896821314802,0.4939018522025142,0.5755305359328581,d2,0.450241291355605,0,0.0,0.4244694640671419,0.0,0.0
0,a25,0.2358410509331525,0.5536281218181484,0.0362613783558324,d67,0.2372001047028663,0,0.0,0.9637386216441676,0.0,0.0
0,a26,0.2503885381316017,0.5406167118041985,0.5247593591985559,d20,0.2404475632918323,0,0.0,0.4752406408014441,0.0,0.0
0,a27,0.7543644331590983,0.0685961047762484,0.0221719707958018,d16,0.7571795782483717,0,0.0,0.9778280292041982,0.0,0.0
0,a28,0.6471903647029184,0.3796561908934688,0.8839469447864684,d4,0.6443367495184003,0,0.0,0.1160530552135316,0.0,0.0
0,a29,0.2641046079546781,0.4230540130556456,0.5161544952337421,d20,0.2404475632918323,0,0.0,0.4838455047662579,0.0,0.0
0,a30,0.5167188426482322,0.3797637532896971,0.5763719142843559,d59,0.517835093703932,0,0.0,0.42362808571564414,0.0,0.0
0,a31,0.5107765656462617,0.3072477415165328,0.6036800718966912,d64,0.5114045779888319,0,0.0,0.39631992810330885,0.0,0.0
0,a32,0.2143172569035558,0.1574091786289084,0.6119393420837311,d100,0.2278883004385705,0,0.0,0.38806065791626887,0.0,0.0
0,a33,0.4450034471048456,0.1106019888747174,0.5861925495594816,d35,0.445080705866929,0,0.0,0.41380745044051837,0.0,0.0
0,a34,0.4408308879128599,0.9366255543818768,0.9937256458197892,d32,0.4448108382164217,0,0.0,0.006274354180210828,0.0,0.0
0,a35,0.5003141478268459,0.568931105471443,0.8737878035030734,d26,0.4983399053567895,0,0.0,0.1262121964969266,0.0,0.0
0,a36,0.5172339964332349,0.5664332508214348,0.4754247967994772,d59,0.517835093703932,0,0.0,0.5245752032005229,0.0,0.0
0,a37,0.3550877083942892,0.0142286846575991,0.5222429039409713,d17,0.3566808863944987,0,0.0,0.4777570960590287,0.0,0.0
0,a38,0.3946497356873941,0.6035035583296866,0.5705420481773202,d58,0.3940609767149655,0,0.0,0.42945795182267976,0.0,0.0
0,a39,0.7390479608354376,0.5272593078199797,0.6154131359778015,d78,0.7405289001624982,0,0.0,0.38458686402219855,0.0,0.0
0,a40,0.5369219926998255,0.8827338892179077,0.3579533355141117,d81,0.5421396112737187,0,0.0,0.6420466644858883,0.0,0.0
0,a41,0.3408497814447566,0.2072974043178057,0.4524095411514284,d62,0.3391033765864686,0,0.0,0.5475904588485716,0.0,0.0
0,a42,0.62253064229341,0.2344237648543041,0.8821101233972093,d73,0.6323702357024397,0,0.0,0.11788987660279071,0.0,0.0
0,a43,0.4413342565378003,0.4390916247654127,0.6889581143323203,d32,0.4448108382164217,0,0.0,0.31104188566767965,0.0,0.0
