epoch,direct_approved,direct_approve_weight,direct_reject_weight,delegated_approved,delegated_approve_weight,delegated_reject_weight,switched_fraction
0,True,1355.7368076646571,1300.5497506701515,False,1239.7945541783827,1437.0384886216636,0.0
1,True,1355.7368076646571,1300.5497506701515,False,1239.7945541783827,1437.0384886216636,0.0025
2,True,1355.7368076646571,1300.5497506701515,False,1242.4110751373603,1434.4219676626853,0.01
3,True,1355.7368076646571,1300.5497506701515,False,1243.783922560631,1433.0491202394146,0.0185
4,True,1355.7368076646571,1300.5497506701515,False,868.5793091133716,1808.2537336866747,0.0215
5,True,1355.7368076646571,1300.5497506701515,False,880.243423216516,1796.5896195835298,0.029
6,True,1355.7368076646571,1300.5497506701515,False,896.818028422854,1780.0150143771914,0.035
7,True,1355.7368076646571,1300.5497506701515,False,914.6381759624422,1762.1948668376037,0.0355
8,True,1355.7368076646571,1300.5497506701515,False,951.8681356040455,1724.9649071960002,0.048
9,True,1355.7368076646571,1300.5497506701515,False,974.8455337200596,1701.987509079986,0.041
10,True,1355.7368076646571,1300.5497506701515,False,1013.9191735779334,1662.913869222112,0.0445
11,True,1355.7368076646571,1300.5497506701515,False,1050.3637874383194,1626.4692553617265,0.0535
12,True,1355.7368076646571,1300.5497506701515,False,1114.1453701326768,1562.6876726673693,0.051
13,True,1355.7368076646571,1300.5497506701515,False,1162.9442314297685,1513.8888113702774,0.0525
14,True,1355.7368076646571,1300.5497506701515,False,780.7953961683145,1896.0376466317316,0.042
15,True,1355.7368076646571,1300.5497506701515,False,829.2022454658598,1847.6307973341861,0.0575
16,True,1355.7368076646571,1300.5497506701515,False,874.2281649807807,1802.6048778192653,0.0455
17,True,1355.7368076646571,1300.5497506701515,False,910.901491045978,1765.9315517540674,0.0485
18,True,1355.7368076646571,1300.5497506701515,False,744.5974823201989,1932.2355604798463,0.0455
19,True,1355.7368076646571,1300.5497506701515,False,813.0510086068446,1863.7820341932013,0.0515
20,True,1355.7368076646571,1300.5497506701515,False,864.2142968026127,1812.6187459974328,0.047
21,True,1355.7368076646571,1300.5497506701515,False,618.6171799399948,2058.2158628600514,0.0365
22,True,1355.7368076646571,1300.5497506701515,False,676.5084345590276,2000.3246082410178,0.0465
23,True,1355.7368076646571,1300.5497506701515,False,708.9093090624978,1967.923733737548,0.041
24,True,1355.7368076646571,1300.5497506701515,False,552.2973947863235,2124.5356480137225,0.037
25,True,1355.7368076646571,1300.5497506701515,False,0.0,2676.8330428000468,0.0425
26,True,1355.7368076646571,1300.5497506701515,False,0.0,2676.833042800046,0.039
27,True,1355.7368076646571,1300.5497506701515,False,0.0,2676.833042800045,0.0325
28,True,1355.7368076646571,1300.5497506701515,False,0.0,2676.833042800045,0.036
29,True,1355.7368076646571,1300.5497506701515,False,0.0,2676.833042800046,0.031
30,True,1355.7368076646571,1300.5497506701515,False,0.0,2676.8330428000445,0.028
31,True,1355.7368076646571,1300.5497506701515,False,0.0,2676.833042800046,0.027
32,True,1355.7368076646571,1300.5497506701515,False,0.0,2676.8330428000454,0.0275
33,True,1355.7368076646571,1300.5497506701515,False,0.0,2676.833042800046,0.0255
34,True,1355.7368076646571,1300.5497506701515,False,0.0,2676.8330428000454,0.0285
35,True,1355.7368076646571,1300.5497506701515,False,0.0,2676.8330428000454,0.025
36,True,1355.7368076646571,1300.5497506701515,False,0.0,2676.8330428000454,0.0265
37,True,1355.7368076646571,1300.5497506701515,False,0.0,2676.8330428000445,0.0325
38,True,1355.7368076646571,1300.5497506701515,False,0.0,2676.8330428000445,0.023
39,True,1355.7368076646571,1300.5497506701515,False,0.0,2676.833042800044,0.025
40,True,1355.7368076646571,1300.5497506701515,False,0.0,2676.8330428000427,0.0215
41,True,1355.7368076646571,1300.5497506701515,False,0.0,2676.8330428000436,0.016
42,True,1355.7368076646571,1300.5497506701515,False,0.0,2676.8330428000436,0.021
43,True,1355.7368076646571,1300.5497506701515,False,0.0,2676.833042800043,0.019
44,True,1355.7368076646571,1300.5497506701515,False,0.0,2676.833042800044,0.0105
45,True,1355.7368076646571,1300.5497506701515,False,0.0,2676.8330428000445,0.012
46,True,1355.7368076646571,1300.5497506701515,False,0.0,2676.833042800045,0.009
47,True,1355.7368076646571,1300.5497506701515,False,0.0,2676.8330428000454,0.0085
48,True,1355.7368076646571,1300.5497506701515,False,0.0,2676.833042800046,0.0055
49,True,1355.7368076646571,1300.5497506701515,False,0.0,2676.833042800046,0.0025
