hash,bech32,name,ticker,valid_meta,itn,impersonator,active_stake,live_stake,owner_stake,delegator,block_epoch,total_block,block,margin,fixed_cost,pledge,reward_amount,pool_fee,reg_time,mithril,ros.0,ros.1,ros.2,ros.3,ros.6,ros.12,ros.18,ros.36,ros.73,cluster_name,cluster_order
4deb0ba979fe7af5a5a4896ef68cdae029ad116542555cb422f46348,pool1fh4sh2telea0tfdy39h0drx6uq566yt9gf24edpz7335sclx39z,Cardano Canucks Pool,CANUK,True,False,False,8866879663317,8865989897397,103248380990,1017,353,5998,9,0.02,340000000,100000000000,3704663549812,193712396440,1596061771,False,0.0414,0.0175,0.0220,0.0284,0.0223,0.0226,0.0221,0.0230,0.0248,,
d54cc1cdc643ccebdb1b7a613f8b6b9442b0d21ebcf3155aad2334f3,pool164xvrnwxg0xwhkcm0fsnlzmtj3ptp5s7hne32k4dyv60x4utfje,,,True,False,False,8843074649972,8847103479714,1220654863,24,157,5645,12,0.03,340000000,200000000,2399869116360,126010676183,1649952565,False,0.0275,0.0408,0.0335,0.0329,0.0255,0.0235,0.0229,0.0164,0.0209,,
a24a0b7f7dec890db8c59c47646290522234a522a98f00cf2d589a80,pool15f9qklmaajysmwx9n3rkgc5s2g3rfffz4x8spnedtzdgq43tpe2,WeQanhet,WEQNT,True,True,False,8845786047316,8839232387442,7217583,350,342,2626,5,0.02,170000000,0,1346289321536,134861955820,1596294431,False,0.0341,0.0209,0.0323,0.0314,0.0253,0.0257,0.0260,0.0243,0.0242,,
ae93356f027a4b30e3807307134a6589eaf90b99974be8f30f89ac06,pool146fn2mcz0f9npcuqwvr3xjn93840jzueja973uc03xkqvl2w36c,Copper Stake Pool 1,COP1,True,False,False,62993068419790,8799576950137,97052335,9,124,7267,50,0.035,340000000,0,2511049456950,132503062008,1691080250,False,0.0236,0.0222,0.0246,0.0253,0.0248,0.0141,0.0157,0.0191,0.0221,copper.co,0.0
ccf9fa7bd7cc72f851effb0e229f7ab163ae670250c38b18dbdd8f8f,pool1enul577he3e0s500lv8z98m6k936uecz2rpckxxmmk8c7k0n2rd,PXLZ Staking Pool,PXLZ,True,False,False,8795038305766,8764853215840,205924105800,659,244,8308,9,0.0169,340000000,100000000000,3570613844829,120555954668,1614647496,False,0.0295,0.0279,0.0222,0.0222,0.0214,0.0228,0.0249,0.0262,0.0275,,
6198d2070b6e70cc2a5e370a43dd49699960c88a084ffe390abe9a6a,pool1vxvdypctdecvc2j7xu9y8h2fdxvkpjy2pp8luwg2h6dx5jlv0nk,COOL,COOL,True,True,False,8661297617705,8655280943710,102722595266,1045,354,9199,8,0.02,170000000,100000000000,7147550539482,246635565364,1596072551,True,0.0451,0.0282,0.0223,0.0283,0.0279,0.0256,0.0235,0.0249,0.0260,stakecool.io,0.0
6371c7935c90ddb9b2bca3e5ae04d69711ec1bc28749393116c6d44c,pool1vdcu0y6ujrwmnv4u50j6upxkjug7cx7zsaynjvgkcm2ycmajelc,COOL5,COOL5,True,False,False,8642463455163,8643803510116,101693580208,610,334,6925,9,0.02,170000000,100000000000,4395789956015,180191759571,1604644451,False,0.0426,0.0164,0.0149,0.0164,0.0227,0.0241,0.0247,0.0266,0.0277,stakecool.io,5.0
6dd356ae25a25f87f253863a26098ef4493121cc5a696a90b82bfd77,pool1dhf4dt395f0c0ujnscazvzvw73ynzgwvtf5k4y9c907hwjdyaq4,ADA HARVEST Staking Pool,JSP,True,False,False,8548925417797,8541831257591,55015648082,207,300,2949,6,0,340000000,10000000000,1407322725366,101320000000,1618006192,False,0.0330,0.0309,0.0294,0.0268,0.0254,0.0258,0.0240,0.0246,0.0247,ippei76.github.io,0.0
552d7f65e42fdc4ed602a657b85bd7623a592d21e5dcf7b045132da8,pool125kh7e0y9lwya4sz5etmsk7hvga9jtfpuhw00vz9zvk6sh8xh5r,CHOCO Stake Pool,CHOCO,True,False,False,8509024716008,8517372167946,78428493349,43,255,1195,14,0,170000000,10000000000,485696259419,67320000000,1629034536,False,0.0280,0.0267,0.0204,0.0211,0.0253,0.0255,0.0289,0.0253,0.0259,,
68ac3c1be0477698b5c825ce598cca359dbf6132e1761a572403b9fb,pool1dzkrcxlqgamf3dwgyh89nrx2xkwm7cfju9mp54eyqwulku73jxs,ARTHPool,ARTH,True,False,False,8507461302267,8508073444859,2447909,8,290,6612,8,0.075,340000000,0,3493511284883,380494846701,1612208222,False,0.0349,0.0115,0.0259,0.0298,0.0262,0.0220,0.0197,0.0215,0.0247,,
c45ff02e8559e129d3e87d47475a99e60dda5cb893e8681502c1ff34,pool1c30lqt59t8sjn5lg04r5wk5eucxa5h9cj05xs9gzc8lngl4cmta,"RUMOR • Single Stakepool in Europe, Croatia",RUMOR,True,False,False,8589306421917,8490111996535,55461642819,182,114,921,5,0.019,170000000,25000000000,335818883768,26210615678,1692989863,False,0.0254,0.0286,0.0165,0.0165,0.0232,0.0237,0.0243,0.0255,0.0252,,
6ec027701fa6c9f4a593f7e7108cb2f5af54361080f7bed1c835349d,pool1dmqzwuql5mylffvn7ln3pr9j7kh4gdsssrmma5wgx56f6rtyf42,Cryptobounty1,BNTY1,True,True,False,7971947167403,7972167007427,1263524757812,495,354,3766,5,0.03,170000000,1000000000000,2138183541409,151665259100,1596060671,False,0.0389,0.0211,0.0162,0.0190,0.0240,0.0217,0.0234,0.0240,0.0257,,
14ab7f5b1a6522028ce68a5c24f3a44a92376f27e52c7d238fe0b39e,pool1zj4h7kc6v53q9r8x3fwzfuayf2frwme8u5k86gu0uzeeuvqxgul,CHEEKY CRYPTO,CHEEK,True,False,False,7891320015191,7930505499223,10125252943,1482,309,2299,14,0.03,340000000,10000000000,1120570081691,138355775178,1611192317,False,0.0331,0.0203,0.0223,0.0289,0.0286,0.0244,0.0263,0.0221,0.0229,,
