epoch,delegator_id,drep_id,switched,delta_u,p_reconsider,p_switch_cond,p_overall
0,a90,d24,0,0.0,0.8392095368358746,0.0,0.0
0,a91,d16,0,0.0,0.6633247102616027,0.0,0.0
0,a92,d66,0,0.0,0.29111809218484674,0.0,0.0
0,a93,d58,0,0.0,0.8427880057066783,0.0,0.0
0,a94,d57,0,0.0,0.5662002534132936,0.0,0.0
0,a95,d47,0,0.0,0.5029024381757602,0.0,0.0
0,a96,d41,0,0.0,0.37787895463696464,0.0,0.0
0,a97,d10,0,0.0,0.8019454970462396,0.0,0.0
0,a98,d38,0,0.0,0.8118103638760836,0.0,0.0
0,a99,d43,0,0.0,0.9027859719004931,0.0,0.0
0,a100,d88,0,0.0,0.8629794010981899,0.0,0.0
0,a101,d66,0,0.0,0.8795690865511173,0.0,0.0
0,a102,d14,0,0.0,0.4662425652883375,0.0,0.0
0,a103,d53,0,0.0,0.31800590462299894,0.0,0.0
0,a104,d72,0,0.0,0.6729531127753098,0.0,0.0
0,a105,d89,0,0.0,0.6531750431217579,0.0,0.0
0,a106,d73,0,0.0,0.06054774208016844,0.0,0.0
0,a107,d94,0,0.0,0.03543227728430576,0.0,0.0
0,a108,d71,0,0.0,0.27972295169946537,0.0,0.0
0,a109,d10,0,0.0,0.6269748272307956,0.0,0.0
0,a110,d28,0,0.0,0.3032969500103405,0.0,0.0
0,a111,d51,0,0.0,0.9405185162432649,0.0,0.0
0,a112,d82,0,0.0,0.7939458324534299,0.0,0.0
0,a113,d8,0,0.0,0.31788524009172614,0.0,0.0
0,a114,d41,0,0.0,0.6424076190618841,0.0,0.0
0,a115,d98,0,0.0,0.5791046943257796,0.0,0.0
0,a116,d94,0,0.0,0.7269031178317301,0.0,0.0
0,a117,d61,0,0.0,0.1304278517476618,0.0,0.0
0,a118,d61,0,0.0,0.6071739461687852,0.0,0.0
0,a119,d43,0,0.0,0.8136410237823875,0.0,0.0
0,a120,d51,0,0.0,0.7680903711948945,0.0,0.0
0,a121,d66,0,0.0,0.10778533236056931,0.0,0.0
