epoch,drep_id,opinion,stake,delegated_stake,Wprime,Wprime_share
0,d1,0.6544398189618225,0.6113047022702557,13.722392928860309,14.333697631130564,0.013862374699709717
0,d2,0.8657904556599825,0.4939656381711477,5.332503341026566,5.826468979197714,0.005634882097028253
0,d3,0.4884693494414028,0.3244126329386243,6.873596928151601,7.198009561090226,0.006961323462775988
0,d4,0.8521109433758144,0.4488741264327569,17.207128818054553,17.65600294448731,0.017075435439917
0,d5,0.5976278055296033,0.3770782987358936,10.094709692964281,10.471787991700175,0.010127452988933939
0,d6,0.1245014614097484,0.9410440826651544,8.02115971482273,8.962203797487884,0.008667507182941687
0,d7,0.0262212851512604,0.7786285541496077,15.825977785563419,16.604606339713026,0.016058611025975868
0,d8,0.6274282350072956,0.7941431291160147,13.98170124782386,14.775844376939874,0.014289982705710505
0,d9,0.5265792043051974,0.4446969168644754,5.4177803342688025,5.862477251133278,0.005669706339223493
0,d10,0.3143485732319948,0.6411853212437485,14.53937234900898,15.180557670252728,0.01468138815196965
0,d11,0.012965800260955,0.4343314804627135,3.203534812174325,3.6378662926370384,0.0035182453930417443
0,d12,0.8799873829195879,0.1936586649349718,11.75873540498452,11.952394069919492,0.01155937354196468
0,d13,0.506101177231038,0.8852114162040516,12.016537596142758,12.90174901234681,0.012477511643773571
0,d14,0.5444230936121223,0.1744367993785583,2.0472183932657333,2.221655192644292,0.0021486023722939256
0,d15,0.3081433129804166,0.4069817224912835,4.425524317665655,4.832506040156939,0.004673602805864555
0,d16,0.485483917169024,0.195995144533855,4.359622076622027,4.555617221155882,0.004405818689167655
0,d17,0.4636981486018401,0.7157943570835169,11.892874041195334,12.608668398278851,0.012194068153197398
0,d18,0.6562992050084688,0.5876211117391754,7.374630065308359,7.962251177047535,0.00770043516403742
0,d19,0.0645924756622676,0.3094112672137011,10.747321363760813,11.056732630974514,0.01069316338529367
0,d20,0.1706040861918495,0.1919625787356293,2.23610430849231,2.4280668872279394,0.0023482268046180832
0,d21,0.1745034817816525,0.9857688480178474,2.089535576881735,3.0753044248995822,0.0029741817743556523
0,d22,0.2867821130034348,0.8524396209435144,16.660026948436506,17.51246656938002,0.016936618850786928
0,d23,0.5928511758762783,0.6658927728842667,9.245767321369645,9.91166009425391,0.009585743306339758
0,d24,0.4645978847235158,0.6980691261430666,8.72780757609261,9.425876702235676,0.009115933521289787
0,d25,0.54418885648056,0.3295363735742088,2.9929397923876024,3.3224761659618114,0.0032132259748097395
0,d26,0.0917319320962545,0.4258718268257104,13.125886945286483,13.551758772112194,0.013106147678955885
0,d27,0.2515461287328163,0.4554322151331479,0.6764768106553986,1.1319090257885465,0.0010946894126876183
0,d28,0.1547776989927841,0.688988609150576,10.81165134079109,11.500639949941666,0.011122474073004951
0,d29,0.8816447243746165,0.9885882560521442,3.259768984419888,4.248357240472032,0.004108662080169957
0,d30,0.9310925732279818,0.0234537744007987,9.74880778371976,9.77226155812056,0.009450928495102588
0,d31,0.5482226586022307,0.7780081544782027,16.222564120700145,17.00057227517835,0.016441556746403237
0,d32,0.2344981479828095,0.4098458376430103,19.486457460708586,19.896303298351597,0.019242069880266183
0,d33,0.0094030343609957,0.9000735037389241,4.485021700795812,5.3850952045347364,0.005208021645213292
0,d34,0.515830317011737,0.1904041414108747,16.93542198487188,17.125826126282753,0.016562691980400352
0,d35,0.1658120032268633,0.0730273189076899,5.790872029232468,5.8638993481401585,0.0056710816746098
0,d36,0.2140482222139993,0.6283400454437265,22.219136004574132,22.847476050017857,0.022096201698864084
0,d37,0.0821213165850166,0.2041415713138661,16.317064271449112,16.521205842762978,0.015977952917467102
0,d38,0.3639718259096396,0.4468174574773836,25.66965452456462,26.116471982042004,0.025257705985317434
0,d39,0.9837124663063006,0.1273734868813091,6.86634478634938,6.993718273230689,0.00676374971362388
0,d40,0.8668445628519528,0.3017682512486745,4.057710247065457,4.3594784983141315,0.0042161294310902615
0,d41,0.7000735673961688,0.2469737301341866,12.002981574431077,12.249955304565264,0.011847150320638261
0,d42,0.5357815987985837,0.8495861051218173,0.4221998201469487,1.271785925268766,0.0012299668576517962
0,d43,0.4396428866509466,0.2179595435495449,29.050330816994766,29.26829036054431,0.028305885769251127
0,d44,0.8328760100402087,0.6823319381851302,20.900697141182988,21.583029079368117,0.020873332475155125
0,d45,0.3030794458486493,0.1861247600403534,7.273709829195929,7.459834589236283,0.007214539118591131
0,d46,0.9755901817670072,0.6538686303833499,10.186518361694919,10.840386992078269,0.01048393165819805
0,d47,0.6743192461462838,0.1391328076011917,11.870439225332738,12.00957203293393,0.01161467137008063
0,d48,0.2205459956643096,0.484017762343897,7.300250854529925,7.784268616873822,0.0075283050547917
0,d49,0.2509652227320427,0.8138284459558288,5.491103821619101,6.304932267574929,0.006097612479252528
0,d50,0.7066151143844396,0.1464049330716936,2.4044104036753096,2.5508153367470032,0.002466939020044345
0,d51,0.6344371556795654,0.3660915419148296,12.079164253183613,12.445255795098443,0.012036028909295535
0,d52,0.8666370322756829,0.6024049540095762,0.6310752814845952,1.2334802354941714,0.001192920741677297
0,d53,0.0153435184241378,0.043445465085906,5.540627777714628,5.584073242800534,0.00540045685589215
0,d54,0.6671007577243941,0.4878484261523147,9.043498644292603,9.531347070444918,0.009217935796031335
0,d55,0.9665935345745804,0.2676511989587375,7.704915740399356,7.972566939358093,0.007710411721806542
