epoch,delegator_id,opinion,stake,s
0,a1,0.8021613791819585,0.5901046462560056,0.0579415381650813
0,a2,0.6949917013090557,0.8846210516945733,0.6565730051693011
0,a3,0.26928135622138516,0.027262924371609265,0.46973723625078523
0,a4,0.7088199885277364,0.1967039234691209,0.4805565463703322
0,a5,0.6351827309952738,0.025914062940738947,0.9060852198482351
0,a6,0.8003499394684527,0.7665686398241233,0.656190366913186
0,a7,0.4865641471355012,0.009393844207090218,0.3704116758891284
0,a8,0.706031958862562,0.8549845795408829,0.36661109364484257
0,a9,0.2878394550463845,0.818227400050903,0.1481408400469313
0,a10,0.4485375707420678,0.16619515551450204,0.19871853846104204
0,a11,0.4494356695018643,0.1353882045256951,0.4667795639753679
0,a12,0.4468071626225224,0.15720026189206415,0.7391813193111519
0,a13,0.5557682736773393,0.554735728288391,0.8745830646276118
0,a14,0.641652608526234,0.2663200099426878,0.47128891184660293
0,a15,0.3582613716952206,0.24626856943027142,0.04566285778911383
0,a16,0.4532230737890989,0.9171320060992326,0.15386777244371963
0,a17,0.5125073505258347,0.6604816477039483,0.3542288189166781
0,a18,0.47026134831132016,0.7962933698295976,0.8405469873483588
0,a19,0.2950693242210354,0.8656743270695759,0.9186114534726724
0,a20,0.8106050401162961,0.2833651116144844,0.11698215028623526
0,a21,0.3599949277779807,0.0598226059262601,0.8287204492053328
0,a22,0.678572130351917,0.32148069784139244,0.7101642345283503
0,a23,0.34924324224530284,0.158172259065552,0.06262347092984444
0,a24,0.4511896821314802,0.49390185220251426,0.5755305359328581
0,a25,0.23584105093315252,0.5536281218181484,0.03626137835583243
0,a26,0.2503885381316017,0.5406167118041985,0.5247593591985559
0,a27,0.7543644331590983,0.06859610477624845,0.0221719707958018
0,a28,0.6471903647029184,0.3796561908934688,0.8839469447864684
0,a29,0.2641046079546781,0.4230540130556456,0.5161544952337421
0,a30,0.5167188426482322,0.37976375328969714,0.5763719142843559
0,a31,0.5107765656462617,0.3072477415165328,0.6036800718966912
0,a32,0.21431725690355583,0.15740917862890846,0.6119393420837311
0,a33,0.4450034471048456,0.1106019888747174,0.5861925495594816
0,a34,0.44083088791285996,0.9366255543818769,0.9937256458197892
0,a35,0.5003141478268459,0.568931105471443,0.8737878035030734
0,a36,0.5172339964332349,0.5664332508214348,0.47542479679947725
0,a37,0.35508770839428927,0.014228684657599189,0.5222429039409713
0,a38,0.39464973568739414,0.6035035583296866,0.5705420481773202
0,a39,0.7390479608354376,0.5272593078199797,0.6154131359778015
0,a40,0.5369219926998255,0.8827338892179077,0.3579533355141117
0,a41,0.34084978144475664,0.20729740431780574,0.4524095411514284
0,a42,0.62253064229341,0.23442376485430416,0.8821101233972093
0,a43,0.4413342565378003,0.43909162476541275,0.6889581143323203
0,a44,0.39592710104738843,0.7043206368373827,0.24624766159439393
0,a45,0.5183461481592215,0.09929647555586696,0.7046725143395189
0,a46,0.2716610273877041,0.48454300518809323,0.7462853352350146
0,a47,0.6152387369217913,0.7185403549159547,0.7939834955953757
0,a48,0.47382374888907147,0.5091490406182168,0.468082847745493
0,a49,0.5885473196792014,0.716533314248849,0.3457541325696777
0,a50,0.8264605850487575,0.5741967193177052,0.0965923996908521
0,a51,0.2837752046714217,0.11359462454709635,0.2748883309028889
0,a52,0.48437413741948604,0.24343069960560126,0.08890892236501335
0,a53,0.5160245858234933,0.00816370130199795,0.1248999128194842
0,a54,0.6045996016764236,0.00739494042901534,0.5685532882562069
0,a55,0.6941412929228087,0.44864472451774207,0.28822704465694937
0,a56,0.297545692823561,0.8980400334997106,0.7172996118738589
0,a57,0.2634244646631844,0.6813932078153677,0.22058245893645356
0,a58,0.3542884980045782,0.6300510654409547,0.5239986064473413
0,a59,0.45236220671259303,0.8165855510152408,0.000715386285730979
0,a60,0.8314042202763289,0.23180952084995377,0.6130420416167789
0,a61,0.570132973733792,0.47512976387704153,0.34453200370295956
0,a62,0.4015043998025338,0.7464748846869605,0.6928300970010376
0,a63,0.757168964469907,0.560014390320428,0.513863480417323
0,a64,0.21112590659469646,0.36454890298248177,0.9585392484374123
0,a65,0.5129197740032273,0.4175392135557914,0.657637571307451
0,a66,0.47151517263683324,0.6554913313054745,0.1623452652687003
0,a67,0.7456086117923113,0.6654791414689945,0.6695950324621132
0,a68,0.8084830247640787,0.26757106235030115,0.3719020902159961
0,a69,0.4068532077574127,0.20063034131352186,0.37594869226124095
0,a70,0.5148382877271002,0.9509435259233054,0.589517218340905
0,a71,0.535841674160604,0.36668324006891595,0.9394593237743868
0,a72,0.23559432467916516,0.06988032902512831,0.10743164044172826
0,a73,0.8230938053068056,0.931480884969039,0.4058878639688098
0,a74,0.7372737808732267,0.20625297992479197,0.23231764701085755
0,a75,0.7107923763130652,0.18470664402398518,0.2673810304756562
0,a76,0.7440321301039889,0.021642315361172226,0.824400522984684
0,a77,0.42275919269578877,0.4336063684985353,0.9985711265946163
0,a78,0.46038218471152226,0.009612666413500448,0.12253477577392624
0,a79,0.2598833990199957,0.32889985850953907,0.3816850766537272
0,a80,0.5422941396981128,0.2223582843812114,0.2509985801592868
0,a81,0.6620441145057694,0.4212079829653982,0.9826930373233733
0,a82,0.4031703684989295,0.5391014816311128,0.8635825772586025
0,a83,0.7078804049410393,0.4236905618325185,0.7060382589631095
0,a84,0.6905228794552745,0.521159075559682,0.41995561388353675
0,a85,0.7872221265540625,0.6050287624745735,0.6232385850976309
0,a86,0.6297531327960786,0.0037720795504240234,0.5626514571157398
0,a87,0.6813114164790808,0.24546406678851196,0.5589362271414136
0,a88,0.5813406886433904,0.41873658270935676,0.45935225248490985
0,a89,0.6538192041562246,0.26125415336686775,0.2393651980490059
0,a90,0.6238672755723432,0.9048122942843637,0.9303371169055009
0,a91,0.2826070799062198,0.5275320108864939,0.845148564600149
0,a92,0.5732124926794324,0.48211330294713783,0.4750893593325677
0,a93,0.5887421230633325,0.6053249077242798,0.9592071877464633
0,a94,0.46407211208290455,0.49673827195800746,0.2784111813207115
0,a95,0.4318875089393823,0.6215598668529035,0.7859249804737553
0,a96,0.6099476191821847,0.07619786526241557,0.8218016559332478
0,a97,0.3038177188462647,0.8195454512654111,0.03769534405604491
0,a98,0.6963450909946594,0.9749738778130261,0.03405528717182926
0,a99,0.5887784430916565,0.4186534392197231,0.26065491392067897
0,a100,0.25802979588540176,0.7599788183486973,0.6424146956707841
0,a101,0.6372375427860376,0.36159185236834623,0.7098021842763002
0,a102,0.3163166913383843,0.41661644144128585,0.5021225513679423
0,a103,0.3126886929092684,0.6347991393812529,0.07355008029259369
0,a104,0.493731814572592,0.5644228608587931,0.2713855725147468
0,a105,0.4568474022678139,0.2540927599071837,0.07136268353775166
0,a106,0.5073598112655832,0.6532790026927903,0.6215004396389451
0,a107,0.2661194408809117,0.1915401803637723,0.38786038979474025
0,a108,0.5939292050940642,0.28856731333374785,0.2376773943994822
0,a109,0.6504711335714206,0.2590285123575242,0.4319387315655695
0,a110,0.7294579489104734,0.7737768347792322,0.7774963862741624
0,a111,0.8416949964103584,0.9623334563569961,0.7573065453886475
0,a112,0.32177919941580635,0.5866479569777403,0.23556998064375345
0,a113,0.5925969358557379,0.6573184817575911,0.7458948963132905
0,a114,0.8109979456493719,0.09338701255228254,0.8523632597342331
0,a115,0.5321166530381709,0.7655608420876703,0.37972067683696675
0,a116,0.40758977190997253,0.8961423898229227,0.7541456481032983
0,a117,0.25395277211301914,0.26314100351157554,0.6487515963231704
0,a118,0.7101453744706423,0.39113305396247366,0.9574679705507498
0,a119,0.3092078999777048,0.10282421557208932,0.3253302355181549
0,a120,0.4804538336961295,0.4665656616000411,0.29008960696840547
0,a121,0.2049219553665178,0.43594770508558867,0.8817164405081276
0,a122,0.7275327205181706,0.07718457591450634,0.31797943617106483
0,a123,0.45525140225268823,0.39877459147650374,0.10888433916416906
0,a124,0.279991694490156,0.8774301276247942,0.21215206048895086
0,a125,0.5042974180260836,0.14432635686439332,0.16808840249684587
0,a126,0.7030883663764955,0.013367370876327445,0.7490708788633003
0,a127,0.3683069773565711,0.8334956121205035,0.5247390221316535
0,a128,0.3952652666942121,0.19115971856646308,0.6319928584708085
0,a129,0.7408500015681015,0.6345280782604605,0.12818026939091132
0,a130,0.5462209687515228,0.7896089117874159,0.4252166209716748
0,a131,0.5857327952064143,0.823820019011547,0.5837975335689445
0,a132,0.818372661749798,0.8352517913922154,0.39139214138058376
0,a133,0.7150176870649017,0.4332413456562728,0.2949304654942545
0,a134,0.48089223482275095,0.4547015476866513,0.968372737031604
0,a135,0.5510228172210963,0.9580246426415931,0.4161655719883913
0,a136,0.13584879147947343,0.028637910787816523,0.9030532566513831
0,a137,0.6287524464735851,0.19015572961121352,0.19481199564935237
0,a138,0.6327277353300399,0.9543842249536445,0.8608771868975728
0,a139,0.44136582601101415,0.8817561571970102,0.3896532308737437
0,a140,0.27489690750046936,0.9931818489444286,0.284395105272199
0,a141,0.27226673376173754,0.7716406302695992,0.27657268935830104
0,a142,0.7704440337829425,0.8388885581431278,0.1755548568092401
0,a143,0.5064827968035785,0.2649270921516065,0.23336149400217043
0,a144,0.5131474473817258,0.5901537347737099,0.8918271012435485
0,a145,0.2833786067674143,0.17533392959274618,0.4501620494735663
0,a146,0.24448659602925402,0.6569174916915771,0.1173704502502998
0,a147,0.4978324141446394,0.8258475182415845,0.8008147532925304
0,a148,0.6178783909652672,0.06163069602278681,0.3478738450533658
0,a149,0.5504058168523541,0.13386190291540667,0.6168340676569003
0,a150,0.5774818291408673,0.021755746316691082,0.25200509414135075
