epoch,drep_id,opinion,stake
0,d1,0.3862165995835288,0.48846934944140286
0,d2,0.45024129135560503,0.3770782987358936
0,d3,0.6522591650467103,0.6274282350072956
0,d4,0.6443367495184003,0.6411853212437485
0,d5,0.1615535697275935,0.5444230936121223
0,d6,0.3904884089184546,0.19599514453385503
0,d7,0.4256883903597749,0.06459247566226767
0,d8,0.5596628379581408,0.9857688480178474
0,d9,0.3807477577498914,0.4645978847235158
0,d10,0.6422725194213029,0.42587182682571045
0,d11,0.5571269770041206,0.8816447243746165
0,d12,0.13199540990356906,0.4098458376430103
0,d13,0.14378211712452735,0.1658120032268633
0,d14,0.23886505678828382,0.20414157131386612
0,d15,0.37020254897139476,0.5357815987985837
0,d16,0.7571795782483717,0.6823319381851302
0,d17,0.3566808863944987,0.22054599566430966
0,d18,0.35854167349554206,0.14640493307169367
0,d19,0.37777429631781634,0.015343518424137836
0,d20,0.2404475632918323,0.26765119895873757
0,d21,0.8367244379858754,0.10689504316055132
0,d22,0.46615143272852116,0.8659825989947968
0,d23,0.48181702785236,0.17607452892850162
0,d24,0.31310507279436434,0.10508190786601002
0,d25,0.8574098737683421,0.496608869306429
0,d26,0.4983399053567895,0.11297873092995159
0,d27,0.38640796860834353,0.26821693754937925
0,d28,0.33770874721277483,0.8673533346226489
0,d29,0.4524106594962402,0.6112706779071959
0,d30,0.7084058191016271,0.4624106724908055
0,d31,0.3386898460073282,0.5305900956354336
0,d32,0.4448108382164217,0.05473217700515265
0,d33,0.5713696095645261,0.004271094450534529
0,d34,0.5824571201440985,0.47334382179804113
0,d35,0.44508070586692905,0.6858598972114482
0,d36,0.6428491055401374,0.8705521518953744
0,d37,0.6331550625258634,0.061226454127161545
0,d38,0.5230232154695205,0.5123888115174334
0,d39,0.5235568747153306,0.44220806282776814
0,d40,0.43210207802529516,0.038118046753417234
0,d41,0.7254648811932107,0.7330780276295283
0,d42,0.5826727116129281,0.6600732244837185
0,d43,0.4650252718472646,0.26478298314434434
0,d44,0.4704128653723852,0.5395451245308905
0,d45,0.5448537391180057,0.4073335225250493
0,d46,0.5858703603877821,0.7371358537080552
0,d47,0.37007677677662915,0.8204349903201831
0,d48,0.32361702659661823,0.6744959024664872
