epoch,delegator_id,opinion,stake,s,drep_id,drep_opinion,distance
0,a1,0.4891645760848404,0.6858598972114482,0.2556333427201517,d3,0.4884693494414028,0.0006952266434375742
0,a2,0.8970405907197155,0.6478772850839486,0.6536064149531289,d57,0.8960927939461778,0.0009477967735377346
0,a3,0.7955783540495598,0.243266714856257,0.8705521518953744,d80,0.7971016943513751,0.0015233403018153346
0,a4,0.3284654047945109,0.1746171111864007,0.8481785030277905,d10,0.3143485732319948,0.014116831562516141
0,a5,0.0705127012521295,0.0612264541271615,0.990215690101483,d73,0.067467742271406,0.003044958980723489
0,a6,0.5781160053697624,0.5177967121369952,0.6215124598713734,d75,0.5746293793880668,0.003486625981695579
0,a7,0.0985310194924437,0.9356320726389844,0.5123888115174334,d26,0.0917319320962545,0.006799087396189188
0,a8,0.4421328710465216,0.1969648985479414,0.6442754329384326,d43,0.4396428866509466,0.002489984395575018
0,a9,0.5852789263248744,0.4422080628277681,0.5556143145737653,d23,0.5928511758762783,0.007572249551403898
0,a10,0.8887900748406077,0.6089784731657852,0.2390312789778085,d71,0.8928386014560008,0.004048526615393122
0,a11,0.8980806665709976,0.8887648617572318,0.994385770569122,d57,0.8960927939461778,0.0019878726248198086
0,a12,0.7624304355052787,0.0381180467534172,0.6372165593276724,d66,0.7651449313999641,0.0027144958946854203
0,a13,0.7584462503174596,0.1936000822288586,0.6231870052630947,d66,0.7651449313999641,0.006698681082504487
0,a14,0.3779357896843136,0.0017439348033175,0.7330780276295283,d38,0.3639718259096396,0.013963963774674015
0,a15,0.2402153217244047,0.7128411595631385,0.8056613054003193,d32,0.2344981479828095,0.005717173741595222
0,a16,0.6315864125726777,0.6600732244837185,0.6873733503074696,d51,0.6344371556795654,0.00285074310688771
0,a17,0.2347949285870093,0.3077438679449561,0.4975130996583657,d32,0.2344981479828095,0.0002967806041997978
0,a18,0.0377286096124104,0.3114004289774599,0.2647829831443443,d7,0.0262212851512604,0.011507324461150003
0,a19,0.0149394554731905,0.9787454741424874,0.3822301067229658,d53,0.0153435184241378,0.00040406295094730024
0,a20,0.5395451245308905,0.5602850580294897,0.7004802390391003,d99,0.5414739621638829,0.0019288376329923418
0,a21,0.5923331376783383,0.4073335225250493,0.2773576448034057,d23,0.5928511758762783,0.0005180381979400517
0,a22,0.3288687003842589,0.1636703017488071,0.2312848055992518,d10,0.3143485732319948,0.01452012715226414
0,a23,0.9865155996158964,0.3332548683568938,0.7371358537080552,d87,0.9868092549045336,0.000293655288637229
0,a24,0.1220287259192346,0.1061128156644281,0.6712273972860485,d6,0.1245014614097484,0.0024727354905138
0,a25,0.8204349903201831,0.6918401941682752,0.2050086315307361,d58,0.808713605691692,0.011721384628491038
0,a26,0.6445493812408961,0.6744959024664872,0.4925822561372311,d1,0.6544398189618225,0.009890437720926348
0,a27,0.0021512698087409,0.7867029705556399,0.0935389664605319,d97,0.0042710944505345,0.0021198246417936
0,a28,0.1332258797765487,0.4960057452783929,0.7517996341257991,d94,0.1303922567881379,0.0028336229884108055
0,a29,0.9990204832241112,0.9644871239357709,0.6617195951794331,d85,0.997974812425625,0.0010456707984861646
0,a30,0.0429480419282756,0.3300568899974011,0.9205234354651496,d60,0.0530691010978995,0.0101210591696239
0,a31,0.515355200636406,0.6723761257003955,0.1293704150267292,d34,0.515830317011737,0.00047511637533093065
0,a32,0.3018679204879074,0.3433379371300745,0.4865251078410787,d45,0.3030794458486493,0.0012115253607419274
0,a33,0.3948667519674927,0.6425662430824692,0.3110659971888709,d89,0.4100009917072433,0.015134239739750588
0,a34,0.1082225568748018,0.2215832712406988,0.2176804199444931,d61,0.1068950431605513,0.0013275137142504945
0,a35,0.5627641174589416,0.0944176971504484,0.0244547814537583,d75,0.5746293793880668,0.011865261929125182
0,a36,0.0115909534297451,0.9465325341023748,0.2006382965120801,d11,0.012965800260955,0.0013748468312099003
0,a37,0.9192588914230077,0.4942127402076397,0.5918911352969859,d70,0.9202588659866592,0.000999974563651529
0,a38,0.9527484508240278,0.0209035296573792,0.2086352644070321,d63,0.9588885552695924,0.006140104445564565
0,a39,0.4594808787904006,0.0738058073055961,0.6239147198428229,d17,0.4636981486018401,0.004217269811439495
0,a40,0.3193663628572436,0.421621978555895,0.8691451268100555,d10,0.3143485732319948,0.005017789625248847
0,a41,0.2440285934288317,0.458753227397999,0.6617411490783438,d49,0.2509652227320427,0.006936629303210984
0,a42,0.7704025429717722,0.5228850216478966,0.5081706303429292,d66,0.7651449313999641,0.005257611571808152
0,a43,0.2173968415080795,0.5819775129032733,0.2886272918197322,d48,0.2205459956643096,0.0031491541562300995
0,a44,0.4936324215112451,0.0271671424002741,0.3873100083537321,d74,0.496608869306429,0.002976447795183912
0,a45,0.1157410705359522,0.4997578259354657,0.0076236375769996,d6,0.1245014614097484,0.008760390873796195
0,a46,0.6562923272840872,0.1534191015140387,0.4454979993131791,d18,0.6562992050084688,6.877724381681993e-06
0,a47,0.5523670065202334,0.5258452240508764,0.1094440468319921,d31,0.5482226586022307,0.0041443479180026666
0,a48,0.9167265178126676,0.7634326998173889,0.0241817867593581,d90,0.9149656348427831,0.0017608829698844142
0,a49,0.0657135234463904,0.4386623296223689,0.2772717328089024,d19,0.0645924756622676,0.0011210477841228084
0,a50,0.2088661051907878,0.0664396215077464,0.6424969092247308,d36,0.2140482222139993,0.005182117023211502
0,a51,0.5980601767501241,0.0304324713071912,0.8923043683966542,d5,0.5976278055296033,0.0004323712205208663
0,a52,0.481632647481548,0.1378908199475452,0.7112890883780012,d62,0.4810361814027525,0.0005964660787954879
0,a53,0.2658843943717117,0.0173851922247875,0.2441125077921133,d79,0.2682169375493792,0.002332543177667512
0,a54,0.5737407540217357,0.3128068920386853,0.7789802137308263,d75,0.5746293793880668,0.0008886253663310528
0,a55,0.3396223303720793,0.808757429580936,0.121455063172708,d96,0.3455306175895897,0.005908287217510411
0,a56,0.4468928466152079,0.5819727585806332,0.2630374665406976,d43,0.4396428866509466,0.00724995996426131
