active_stake,bech32,block,block_epoch,cluster_name,cluster_order,delegator,fixed_cost,hash,impersonator,itn,live_stake,margin,mithril,name,owner_stake,pledge,pool_fee,reg_time,retiring_epoch,reward_amount,ros_0,ros_1,ros_12,ros_18,ros_2,ros_3,ros_36,ros_6,ros_73,ticker,total_block,valid_meta
1750620966436,pool1jayej3rwf5ynfmmu7583x3w2j73dcedtflgnazdezfn3kl6062x,0,190,no-tax.biz,0,17,340000000,974999446e4d0934ef7cf50f1345ca97a2dc65ab4fd13e89b912671b,False,False,1750163268630,0.9999,False,TAX Adjustment Stake Pool,143182222992,750000000,170483928435,1640814483,,10673500,0.0002,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,TAX,354,True
2663844005785,pool1gslrt6mmljsqkzft6nd0q7w7g2fyhxpxx6sj4ff68x22kwx6unm,1,124,,,211,170000000,443e35eb7bfca00b092bd4daf079de42924b982636a12aa53a3994ab,False,False,2688756054646,0,False,Goofinator Pool,73552975505,50000000000,34340000000,1640806664,,93544688199,0.0255,0,0.0263,0.0281,0.0067,0.0061,0.0258,0.0206,0.0254,GOOF,294,True
205656821294,pool1f6lnuxzw90mmd399nxqjvzyyxgmf4h3cp7j6pp5s7xmps86arct,0,53,,,36,170000000,4ebf3e184e2bf7b6c4a5998126088432369ade380fa5a08690f1b618,False,False,205656821294,0.01,False,Dyno Pool,29914593697,25000000000,14390808058,1640714830,,20786577672,0.0260,0,0.0102,0.0150,0,0,0.0247,0.0089,0.0233,DYNO,73,True
230299574,pool1fagx52jnyh3dz0d722c2fedjvstc3mmwt4a2mlkgvszvqgkvt2g,0,0,,,2,340000000,4f506a2a5325e2d13dbe52b0a4e5b2641788ef6e5d7aadfec86404c0,False,False,230299574,0.01,False,Stake-Crypto,0,5000000000,0,1640346027,,0,0,0,0,0,0,0,0,0,0,STCRP,0,True
33909910866195,pool1gqgyta9sku3crjzfl9kj7kxsgfkt98y98yeu09kx22zscrezuj7,9,255,,,1942,170000000,401045f4b0b72381c849f96d2f58d0426cb29c853933c796c652850c,False,False,33705043610058,0.019,False,The independent,2058295511547,2000000000000,101368177729,1640341937,,3100243593651,0.0299,0,0.0220,0.0232,0.0100,0.0138,0.0232,0.0204,0.0257,FORTE,7279,True
197226148,pool18qamc87vnl2sjd888f3gv4ssh4qjww859z9v6mr622fvjhemunh,0,0,celts.io,3,1,340000000,383bbc1fcc9fd50934e73a62865610bd412738f4288acd6c7a5292c9,False,False,197226148,0.01,False,MAEVE,197226148,100000000,0,1640259434,,0,0,0,0,0,0,0,0,0,0,MAEVE,0,True
197226148,pool17p4syst04f92ylfzlcn8qwq8w5muxkwqn0a5fl98ksxhwj6y7g7,0,0,celts.io,2,1,340000000,f06b02416faa4aa27d22fe267038077537c359c09bfb44fca7b40d77,False,False,197226148,0.01,False,CHLOE,197226148,100000000,0,1640223559,,0,0,0,0,0,0,0,0,0,0,CHLOE,0,True
197226280,pool1qhnjcmyy9xrf00z4uj66yedje5ue2ukqte2hr6dmty9a2gz7tu5,0,0,celts.io,1,1,340000000,05e72c6c84298697bc55e4b5a265b2cd399572c05e5571e9bb590bd5,False,False,197226280,0.01,False,ANNE,197226280,100000000,0,1640221350,,0,0,0,0,0,0,0,0,0,0,ANNE,0,True
540700677,pool1vkaycnf2sv8rxzv4nex8s2unnzahtjs8eht9ypua4takugjgaa0,0,1,celts.io,0,1,340000000,65ba4c4d2a830e3309959e4c782b9398bb75ca07cdd652079daafb6e,False,False,540700677,0.01,False,CELTS,540700677,100000000,343227039,1640218362,,319476955,0.0041,0,0,0,0,0,0,0,0,CELTS,1,True
836276850,pool19gzu2dyp0g9e0nsvtg34fdhrtgr8c5jq37nscalqkh3hsjmas69,0,58,,,29,340000000,2a05c534817a0b97ce0c5a2354b6e35a067c52408fa70c77e0b5e378,False,False,836276850,0,False,Harmonic,10000000,15000000000,24769354035,1640200791,,374545458523,0.0319,0,0,0,0,0,0,0,0,ARMN,634,True
686216480938,pool17gfj5t240hqaqr7vtrlrlhmyazw3lcyqvfd06v4kpxv7qxpdzau,0,136,,,15,170000000,f2132a2d557dc1d00fcc58fe3fdf64e89d1fe080625afd32b60999e0,False,False,687067607590,0,False,Evochro.me,46099206583,45000000000,44518136766,1640097785,,55016593978,0.0151,0,0.0158,0.0195,0.0096,0.0129,0.0132,0.0191,0.0095,EVOC,194,True
32571865148,pool12e8xz54gjtcz6dzkhua9uq9dp23cqcmf6xc4929t4ep4ketccsm,0,12,,,35,340000000,564e6152a892f02d3456bf3a5e00ad0aa3806369d1b152a8abae435b,False,False,32571865148,0,False,SOCK STAKE,11272221028,6769000000,4080000000,1640089668,,1019952878,0.0029,0,0.0019,0.0013,0,0.0077,0.0007,0.0038,0.0045,SOCK,12,True
1220692639065,pool1n940lfxkd7z73qzj5y554yrletrmgg5x2eya9tpglh3uwcqfnud,0,145,,,455,270000000,996affa4d66f85e88052a1294a907fcac7b422865649d2ac28fde3c7,False,False,1258171644929,0,False,Fun On the Ride - 0% Fees - Only 270 Fixed cost,1543924739,1000000000,43780000000,1640025508,,75206724553,0.0199,0,0.0130,0.0127,0,0.0164,0.0160,0.0255,0.0180,FUNON,251,True
449960297,pool14exgv53wem2jwutrqpsdxtrl4hweefymltq02xt72z60x8ge4qf,0,1,,,3,340000000,ae4c86522eced52771630060d32c7faddd9ca49bfac0f5197e50b4f3,False,False,449960297,0.02,False,Adrenaline,449960297,100000000,345920031,1639981205,,290081538,0.0270,0,0,0,0,0,0,0,0,ADR,1,True
17782539230611,pool1y9rdlv5tksudwrx47afjx47grd4tyh24zccffjtp32u0cfpegvk,4,260,,,26,340000000,2146dfb28bb438d70cd5f7532357c81b6ab25d55163094c9618ab8fc,False,False,17790559269494,0.05,False,SPP Stake Pool,4059003133,1000000000,537811002667,1639939208,,1881858163957,0.0259,0,0.0228,0.0237,0.0055,0.0087,0.0226,0.0175,0.0237,SPP,4952,True
15436505305,pool1dwvtdk76v5vg99d8h2a28h5f94hy2zwcxnj576g6w90ezapqjyn,0,0,,,7,345000000,6b98b6dbda65188295a7babaa3de892d6e4509d834e54f691a715f91,False,False,15437178872,0.15,False,Rocket Test Pool,157622050,100000000,0,1639908855,,0,0,0,0,0,0,0,0,0,0,RKT0,0,True
19519060381247,pool1xjqjwe0t7uw7wfdygvt99e5wjcuz6ex6rcx2p067aqxp6tsgwgm,7,257,nvetech.github.io,0,23,340000000,34812765ebf71de725a4431652e68e96382d64da1e0ca0bf5ee80c1d,False,False,19523245428968,0.3,False,NVE Tech StakePool,15952479713,100000000,689884684035,1639883109,,1413394903994,0.0216,0,0.0138,0.0155,0.0060,0.0095,0.0167,0.0128,0.0174,NVET,4380,True
2530037735,pool17cacd3k230r83pw5xny6d493t9wn5ww730m6wayuqsrhqwzyecv,0,1,,,4,340000000,f63b86c6ca8bc67885d434c9a6d4b1595d3a39de8bf7a7749c040770,False,False,2530037735,0.01,False,Dharma Pool,955922612,500000000,343224513,1639880527,,319226847,0.0058,0,0,0,0,0,0,0,0,DHARM,1,True
1350447823761,pool14qpadfdjzw6jkwxy67uhey6tjpyppsmwgz5awfsxwrtpsecslpc,1,41,,,181,170000000,a803d6a5b213b52b38c4d7b97c934b904810c36e40a9d7260670d618,False,False,2097728683895,0.02,True,BEADA Cardano stakepool,98368712647,90000000000,7993019352,1639760727,,11114958896,0.0193,0,0.0466,0.0360,0,0,0.0287,0.0425,0.0219,BEADA,50,True
1829586050754,pool1vflcm2fde9qyzcr0lkkv4httte3xep6sycasrtaxw6rt2me3vwp,0,188,,,30,170000000,627f8da92dc94041606ffdaccadd6b5e626c8750263b01afa67686b5,False,False,1830283470062,0,False,OKNW Cardano Pool,61518685213,10000000000,48280000000,1639747533,,145455514597,0.0240,0,0.0152,0.0146,0.0106,0.0095,0.0153,0.0208,0.0168,OKNW,384,True
4286393872,pool178jmsy6t03udg2urvckseyync6y2jkq26haj7vxtwszc7ycq5ws,0,3,,,10,340000000,f1e5b8134b7c78d42b83662d0c9093c688a9580ad5fb2f30cb74058f,False,False,4286393872,0,False,Rollway,562621754,500000000,1020000000,1639582629,,3602732910,0.0419,0,0,0,0,0,0,0,0,ROLL,7,True
150721086570,pool1grhujlggx90ln0jcnrey4adckysxdx6rqfmx9s6fnhtc2g0qym0,0,5,,,436,340000000,40efc97d08315ff9be5898f24af5b8b120669b43027662c3499dd785,False,False,150718578503,0.99,False,,0,10000000000,42702981328,1639522202,,413863246,0.0001,0,0,0,0,0,0,0,0,,65,True
1259001487237,pool1a5jd3x2udlvpm9mt4gpau4jlags6qtth6jdsguryh2zy27f5ttj,0,202,cardanians.io,6,300,340000000,ed24d8995c6fd81d976baa03de565fea21a02d77d49b047064ba8445,False,False,1259925896142,0.02,False,CARDANIANS.io #1,21117680266,20000000000,77318911333,1639485787,,438865360225,0.0336,0,0.0174,0.0160,0.0413,0.0344,0.0132,0.0242,0.0147,CRDN,879,True
16515204,pool1evun4ps8xa0dfpj2r0cw9p94t2pctcvusccsm458enajuw2mftw,0,0,,,4,400000000,cb393a8607375ed4864a1bf0e284b55a8385e19c86310dd687ccfb2e,False,False,16515204,0.1,False,eqPool,0,500000000,0,1639460484,,0,0,0,0,0,0,0,0,0,0,EQN,0,True
349090063904,pool1psr42v6rvv3raeqsg9ru2zy5dp4cchlde8hw9xthrpstx5wz7wk,0,139,,,193,340000000,0c0755334363223ee4104147c50894686b8c5fedc9eee299771860b3,False,False,349061186692,0.02,False,Politikoz,1148654772,1000000000,49071734750,1639444957,,105393347780,0.0220,0,0.0004,0.0005,0,0,0.0082,0.0004,0.0197,PLKOZ,336,True
2247442980,pool14glhqr7989jz4yu0hnytpw62xlq0666sy075ztufdya2yw4d6fe,0,5,,,10,340000000,aa3f700fc539642a938fbcc8b0bb4a37c0fd6b5023fd412f89693aa2,False,False,2247442980,0.04,False,Candlestake Pool,2220046933,100000000,1720424480,1639246877,,2022023763,0.0178,0,0,0,0,0,0,0,0,CNDL,6,True
5082400420,pool14sy0qjv6fl5jcv0gfn6zl8w9tqnm67drxum6tdmazcjvypy848w,0,0,,,4,340000000,ac08f0499a4fe92c31e84cf42f9dc55827bd79a33737a5b77d1624c2,False,False,5082400420,0,False,Aire Cardano,5016208988,5000000000,0,1638997978,,0,0,0,0,0,0,0,0,0,0,AIRE,0,True
136644068,pool1qvqpd95v4k2ge6unntpettve72ntguk6qp9ktet572e7v4v9de8,0,0,,,2,345000000,030016968cad948ceb939ac395ad99f2a6b472da004b65e574f2b3e6,False,False,136644068,0.03,False,Artemis One,136328469,134000000,0,1638922799,,0,0,0,0,0,0,0,0,0,0,ARTE,0,True
106377114395,pool1jv9pf6w2fmjqpaekyt74tjkmjxhma8wsqs8ur3dte45tqdxe3t0,0,6,,,5,340000000,930a14e9ca4ee400f73622fd55cadb91afbe9dd0040fc1c5abcd68b0,False,False,106377114395,0.03,False,IC-Pool1,2149951231,0,2074437279,1638749627,,1113472128,0.0039,0,0,0,0,0,0,0,0.0039,ICP1,7,True
948482611,pool1pkqtms0pzd2x8phsrxn9kk5gmy4gn79edg9hhldykjd0guv0av9,0,0,,,3,340000000,0d80bdc1e113546386f019a65b5a88d92a89f8b96a0b7bfda4b49af4,False,False,948482611,0,False,Thamizh ADA Community,495416128,123000000,0,1638395191,,0,0,0,0,0,0,0,0,0,0,TAMIL,0,True
10000033939,pool16e0qmln8gvtnjcpcvgvjdlhcnsz6z95uw90c58t50qfkc6rqek6,0,0,,,1,340000000,d65e0dfe674317396038621926fef89c05a1169c715f8a1d7478136c,False,False,10000033939,0,False,HENRY,10000033939,10000000000,0,1638333230,,0,0,0,0,0,0,0,0,0,0,HENRY,0,True
69174175145744,pool1nz9h4raywm6mu2v8l7htuaqvmn06l3mepuaxynpzlwljsf8txhy,17,258,nordicpool.org,4,2783,340000000,988b7a8fa476f5be2987ffaebe740cdcdfafc7790f3a624c22fbbf28,False,False,69982328290248,0,True,#5 Nordic Pool,155171836053,100000000000,89888726184,1638277095,,5143791721093,0.0315,0,0.0242,0.0250,0.0131,0.0188,0.0254,0.0226,0.0271,NORTH,11567,True
0,pool1rryu0ckdfzcrxuef98q78fzw25dh3lck8l0u3lq6zpv7x5a6qyd,0,0,,,1,350000000,18c9c7e2cd48b033732929c1e3a44e551b78ff163fdfc8fc1a1059e3,False,False,0,0.05,False,Corehounds Staking Pool,0,550000000,0,1638261376,,0,0,0,0,0,0,0,0,0,0,CRHND,0,True
19353990550,pool1pwfdasxs7ht7878g99fnw86g7u77hqjvv4qgvr9jx6reznfrllj,0,0,,,5,345000000,0b92dec0d0f5d7e3f8e82953371f48f73deb824c6540860cb2368791,False,False,19353990550,0.05,False,SafeStakela,18734892330,18000000000,0,1638213737,,0,0,0,0,0,0,0,0,0,0,Safe,0,True
2228964,pool1xt0gxs63r5vgjsrzhm7jfuhuqzga9pf8kqvp38qmdzn3wjxudvr,0,0,,,1,345000000,32de8343511d18894062befd24f2fc0091d28527b018189c1b68a717,False,False,2228964,0.015,False,Pool in the Heart of Europe,2228964,1,0,1638132907,,0,0,0,0,0,0,0,0,0,0,PRAG1,0,True
610733512927,pool1ptzt9j6y4jefzkq4vj3z7wa4h492ktlkecggseqvc8f060xuved,0,53,,,10,340000000,0ac4b2cb44acb291581564a22f3bb5bd4aab2ff6ce1088640cc1d2fd,False,False,611430931943,0,False,👩🏻‍💻 Cat lady's validator 🐈,77813005448,10000000000,18020000000,1638097735,,15049522713,0.0112,0,0.0089,0.0142,0.0006,0.0004,0.0104,0.0074,0.0113,MEOW,83,True
812165326,pool1jphnr6n8v7hg4rhsmel2s6yunjalthar07vv7rwvgsky5q8k49h,0,0,,,3,340000000,906f31ea6767ae8a8ef0de7ea8689c9cbbf5dfa37f98cf0dcc442c4a,False,False,812165326,0.01,False,blokchef stake pool,502429929,500000000,0,1638086960,,0,0,0,0,0,0,0,0,0,0,BCHEF,0,True
367654729360,pool143nv3macakarny2hvg67gg00q5j2kdg6yfvcmefqmea3vnj0nex,0,9,sanada.eco,1,10,170000000,ac66c8efb8edba3991576235e421ef0524ab351a22598de520de7b16,False,False,367050724010,0.04,False,Andamio Pool,9145440526,3000000000,1960634057,1638077909,,2175217481,0.0113,0,0.0092,0.0102,0,0,0.0113,0.0059,0.0110,AND,10,True
5203832861891,pool1cjz6kg9a8ug9uk0nc59q60a67c2628ms58rd98gq587jwa2x5qt,2,261,,,1775,340000000,c485ab20bd3f105e59f3c50a0d3fbaf615a51f70a1c6d29d00a1fd27,False,False,5134301357728,0,False,Genius X 1,39116541834,10000000000,2018184459058,1638073370,,522340711065,0.0070,0,0.0120,0.0116,0.0025,0.0033,0.0127,0.0090,0.0153,GENS1,4341,True
1602699093,pool1fp9z85qx2k6jgnn4f4taxlgn0xw0w9k3t47q32t83ymexz5ymwd,0,6,,,4,340000000,484a23d00655b5244e754d57d37d13799cf716d15d7c08a967893793,False,False,1602699093,0.01,False,THK Pool,1459544093,50000000000,2057326891,1638060869,,1715362616,0.0080,0,0,0,0,0,0,0,0,THK,6,True
4766631131,pool1pqdgdhka8xegl8y3lt780n0v4p9yl5z3vdh6qqs4vdlvgaujaxu,0,0,,,8,340000000,081a86dedd39b28f9c91fafc77cdeca84a4fd051636fa00215637ec4,False,False,4766631131,0.008,False,IRONSKY GAME POOL,0,2200000000,0,1638059988,,0,0,0,0,0,0,0,0,0,0,ISKY,0,True
9061913935449,pool1853ffwhtuka742fq4av7s3ssdpvzhdkpw53th3es36zkwrllj9g,6,267,atlasstakepool.com,1,1348,340000000,3d2294baebe5bbeaa920af59e8461068582bb6c17522bbc7308e8567,False,False,9058833625529,0,False,AtlasStakePool #2,132914622188,125000000000,90108079433,1638031311,,1328642851227,0.0330,0,0.0205,0.0215,0.0142,0.0189,0.0227,0.0271,0.0238,ATLAS,2760,True
7212598776,pool1dlzpcfmnn727lfsav0x8jmdwjz70sy429xfxjwnzk7r9wm6stws,0,0,,,6,340000000,6fc41c27739f95efa61d63cc796dae90bcf812aa2992693a62b78657,False,False,7212598776,0.1,False,Cardano Park,23861746,20000000,0,1637990109,,0,0,0,0,0,0,0,0,0,0,CPARK,0,True
31098535733259,pool1yvf4nxph69ztm0tgj73ummxq45kfjhecyad26e3xc2002xgzalg,11,267,ccv3000.github.io,4,3299,340000000,2313599837d144bdbd6897a3cdecc0ad2c995f38275aad6626c29ef5,False,False,30948623496931,0.03,False,(Crypto Capital Venture) #Pool5,20022999820,20000000000,206041990978,1637962246,,3757263386504,0.0312,0,0.0222,0.0227,0.0116,0.0155,0.0234,0.0222,0.0248,CCV4,8084,True
26747750721823,pool149d5lzg7m6susau4f4yfdztgkty34qrcdpvd3ygsetmljgxxf8g,6,268,git.io/JItdr,2,1306,340000000,a95b4f891edea1c877954d48968968b2c91a80786858d89110caf7f9,False,False,23642513322735,0,False,❄TERA #3❄,339292408,200000000,90772881218,1637921278,,4138249417426,0.0332,0,0.0211,0.0222,0.0153,0.0178,0.0231,0.0178,0.0247,TERA3,8345,True
70446098423,pool1fwh9zp2hw7ppkna86n7m7ycgz66dnkdhhyqqahhv362agxj2u7g,0,23,aada.finance,1,73,345000000,4bae51055777821b4fa7d4fdbf130816b4d9d9b7b9000edeec8e95d4,False,False,70455372817,0.099,False,Aada Finance 2 - Stake ADA earn AADA,6915918066,100000000,8069717367,1637894336,,2161155448,0.0087,0,0,0.0006,0,0,0.0012,0,0.0037,ISPO2,23,True
197299065,pool1dvp46zdtmzwkt6x74g6dzq7cyygp5armhrzh2t5hm8scwtxvsnt,0,0,,,3,345000000,6b035d09abd89d65e8deaa34d103d821101a747bb8c5752e97d9e187,False,False,197299065,0.15,False,NXGN ADA,197299065,100000000,0,1637855116,,0,0,0,0,0,0,0,0,0,0,NXGN,0,True
5709640762,pool1wvezktuplgsgwxvccvaw6vyq3l8v3ecupe56apngyjuaw4jxg9u,0,2,,,8,340000000,73322b2f81fa20871998c33aed30808fcec8e71c0e69ae866824b9d7,False,False,5709640762,0.04,False,Bridge Builders Pool,4091928741,2500000000,696513545,1637731466,,396325107,0.0215,0,0,0,0,0,0,0,0,BUILD,2,True
391897950535,pool1qlpjsz5j5vqs59cnu09j90agycj2xvrp45sv0v6euujj60up6dw,0,45,,,20,340000000,07c3280a92a3010a1713e3cb22bfa82624a33061ad20c7b359e7252d,False,False,391897950535,0,False,The Roam Pool 天涯,25635268078,10000000000,15300000000,1637724876,,14180099033,0.0089,0,0,0,0,0,0,0,0,ROAM,51,True
4118035021000,pool1xtrwqwu6jn896szjwsyxxjczl6hc9sq4lh5ax68f7dt3gc0y9rx,0,265,stakewithnerd.com,1,1142,340000000,32c6e03b9a94ce5d40527408634b02feaf82c015fde9d368e9f35714,False,False,4112075550821,0.04,False,Nerd Stake Pool,2500000000,2500000000,124867577678,1637706513,,843885813709,0.0318,0,0.0083,0.0115,0.0087,0.0078,0.0164,0.0097,0.0182,NERD2,1777,True
46587714483950,pool1v5u6wzakuc25q3zpx04t8gjz3rgu60wuxkv2mh5nga23xjkc86s,12,267,,,1454,340000000,6539a70bb6e61540444133eab3a24288d1cd3ddc3598adde93475513,False,False,46633434280643,0,False,Moksh Stake Pool,484000195568,200000000000,100285685395,1637633421,,6254312789691,0.0324,0,0.0229,0.0232,0.0139,0.0162,0.0249,0.0208,0.0263,MOKSH,13310,True
23732196404290,pool16j3mvwws7zc9pjluyhddgea0tq647v0dh3y4nkcuckg9znjcun2,7,268,itcpool.github.io,4,4366,340000000,d4a3b639d0f0b050cbfc25dad467af58355f31edbc4959db1cc59051,False,False,23702470464643,0.0399,False,Into the Cryptoverse #3,100007471898,100000000000,250654898136,1637631837,,3851117815240,0.0323,0,0.0208,0.0206,0.0140,0.0187,0.0238,0.0210,0.0248,ITC3,8096,True
267091591,pool1zd5jmdvhgcqja28at800tle5qltucce5979x3jgdv0g9qcmw268,0,0,,,2,340000000,13692db59746012ea8fd59def5ff3407d7cc63342f8a68c90d63d050,False,False,267091591,0.01,False,Be yourself,161673712,100000000,0,1637576017,,0,0,0,0,0,0,0,0,0,0,GAY,0,True
