epoch,delegator_id,opinion,stake,s,drep_id,drep_opinion,distance,switched
0,a1,0.8021613791819585,0.5901046462560056,0.0579415381650813,d75,0.7913326451339235,0.010828734048034971,0
0,a2,0.6949917013090557,0.8846210516945733,0.6565730051693011,d65,0.6926779692927613,0.0023137320162944786,0
0,a3,0.2692813562213851,0.0272629243716092,0.4697372362507852,d20,0.2404475632918323,0.028833792929552793,0
0,a4,0.7088199885277364,0.1967039234691209,0.4805565463703322,d30,0.7084058191016271,0.00041416942610927876,0
0,a5,0.6351827309952738,0.0259140629407389,0.9060852198482352,d37,0.6331550625258634,0.002027668469410382,0
0,a6,0.8003499394684527,0.7665686398241233,0.656190366913186,d75,0.7913326451339235,0.009017294334529136,0
0,a7,0.4865641471355012,0.0093938442070902,0.3704116758891284,d89,0.4896240178334312,0.003059870697929956,0
0,a8,0.706031958862562,0.8549845795408829,0.3666110936448425,d30,0.7084058191016271,0.002373860239065162,0
0,a9,0.2878394550463845,0.818227400050903,0.1481408400469313,d24,0.3131050727943643,0.025265617747979807,0
0,a10,0.4485375707420678,0.166195155514502,0.198718538461042,d2,0.450241291355605,0.0017037206135371852,0
0,a11,0.4494356695018643,0.1353882045256951,0.4667795639753679,d2,0.450241291355605,0.0008056218537406679,0
0,a12,0.4468071626225224,0.1572002618920641,0.7391813193111519,d35,0.445080705866929,0.0017264567555934085,0
0,a13,0.5557682736773393,0.554735728288391,0.8745830646276118,d11,0.5571269770041206,0.0013587033267813409,0
0,a14,0.641652608526234,0.2663200099426878,0.4712889118466029,d10,0.6422725194213029,0.0006199108950689647,0
0,a15,0.3582613716952206,0.2462685694302714,0.0456628577891138,d18,0.358541673495542,0.00028030180032140306,0
0,a16,0.4532230737890989,0.9171320060992326,0.1538677724437196,d29,0.4524106594962402,0.0008124142928586653,0
0,a17,0.5125073505258347,0.6604816477039483,0.3542288189166781,d64,0.5114045779888319,0.0011027725370028607,0
0,a18,0.4702613483113201,0.7962933698295976,0.8405469873483588,d44,0.4704128653723852,0.00015151706106508733,0
0,a19,0.2950693242210354,0.8656743270695759,0.9186114534726724,d24,0.3131050727943643,0.018035748573328902,0
0,a20,0.8106050401162961,0.2833651116144844,0.1169821502862352,d75,0.7913326451339235,0.019272394982372543,0
0,a21,0.3599949277779807,0.0598226059262601,0.8287204492053328,d18,0.358541673495542,0.0014532542824386985,0
0,a22,0.678572130351917,0.3214806978413924,0.7101642345283503,d98,0.6867323808101021,0.008160250458185137,0
0,a23,0.3492432422453028,0.158172259065552,0.0626234709298444,d86,0.3533789480454132,0.004135705800110412,0
0,a24,0.4511896821314802,0.4939018522025142,0.5755305359328581,d2,0.450241291355605,0.0009483907758752186,0
0,a25,0.2358410509331525,0.5536281218181484,0.0362613783558324,d67,0.2372001047028663,0.0013590537697137917,0
0,a26,0.2503885381316017,0.5406167118041985,0.5247593591985559,d20,0.2404475632918323,0.009940974839769412,0
0,a27,0.7543644331590983,0.0685961047762484,0.0221719707958018,d16,0.7571795782483717,0.0028151450892733854,0
0,a28,0.6471903647029184,0.3796561908934688,0.8839469447864684,d4,0.6443367495184003,0.002853615184518099,0
0,a29,0.2641046079546781,0.4230540130556456,0.5161544952337421,d20,0.2404475632918323,0.023657044662845794,0
0,a30,0.5167188426482322,0.3797637532896971,0.5763719142843559,d59,0.517835093703932,0.0011162510556997907,0
0,a31,0.5107765656462617,0.3072477415165328,0.6036800718966912,d64,0.5114045779888319,0.00062801234257015,0
0,a32,0.2143172569035558,0.1574091786289084,0.6119393420837311,d100,0.2278883004385705,0.013571043535014704,0
0,a33,0.4450034471048456,0.1106019888747174,0.5861925495594816,d35,0.445080705866929,7.725876208342086e-05,0
0,a34,0.4408308879128599,0.9366255543818768,0.9937256458197892,d32,0.4448108382164217,0.003979950303561797,0
0,a35,0.5003141478268459,0.568931105471443,0.8737878035030734,d26,0.4983399053567895,0.0019742424700563976,0
0,a36,0.5172339964332349,0.5664332508214348,0.4754247967994772,d59,0.517835093703932,0.0006010972706971263,0
0,a37,0.3550877083942892,0.0142286846575991,0.5222429039409713,d17,0.3566808863944987,0.001593178000209472,0
0,a38,0.3946497356873941,0.6035035583296866,0.5705420481773202,d58,0.3940609767149655,0.0005887589724286046,0
0,a39,0.7390479608354376,0.5272593078199797,0.6154131359778015,d78,0.7405289001624982,0.0014809393270606153,0
0,a40,0.5369219926998255,0.8827338892179077,0.3579533355141117,d81,0.5421396112737187,0.005217618573893135,0
0,a41,0.3408497814447566,0.2072974043178057,0.4524095411514284,d62,0.3391033765864686,0.0017464048582879754,0
0,a42,0.62253064229341,0.2344237648543041,0.8821101233972093,d73,0.6323702357024397,0.009839593409029623,0
0,a43,0.4413342565378003,0.4390916247654127,0.6889581143323203,d32,0.4448108382164217,0.0034765816786214154,0
0,a44,0.3959271010473884,0.7043206368373827,0.2462476615943939,d58,0.3940609767149655,0.0018661243324228916,0
0,a45,0.5183461481592215,0.0992964755558669,0.7046725143395189,d59,0.517835093703932,0.0005110544552895391,0
0,a46,0.2716610273877041,0.4845430051880932,0.7462853352350146,d20,0.2404475632918323,0.03121346409587178,0
0,a47,0.6152387369217913,0.7185403549159547,0.7939834955953757,d88,0.6115059790073664,0.0037327579144249556,0
0,a48,0.4738237488890714,0.5091490406182168,0.468082847745493,d44,0.4704128653723852,0.003410883516686225,0
0,a49,0.5885473196792014,0.716533314248849,0.3457541325696777,d46,0.5858703603877821,0.002676959291419312,0
0,a50,0.8264605850487575,0.5741967193177052,0.0965923996908521,d21,0.8367244379858754,0.010263852937117846,0
0,a51,0.2837752046714217,0.1135946245470963,0.2748883309028889,d24,0.3131050727943643,0.02932986812294258,0
0,a52,0.484374137419486,0.2434306996056012,0.0889089223650133,d50,0.4820577570959681,0.002316380323517886,0
0,a53,0.5160245858234933,0.0081637013019979,0.1248999128194842,d59,0.517835093703932,0.0018105078804386832,0
0,a54,0.6045996016764236,0.0073949404290153,0.5685532882562069,d94,0.6073501272161405,0.002750525539716886,0
0,a55,0.6941412929228087,0.448644724517742,0.2882270446569493,d65,0.6926779692927613,0.0014633236300474195,0
0,a56,0.297545692823561,0.8980400334997106,0.7172996118738589,d24,0.3131050727943643,0.015559379970803255,0
0,a57,0.2634244646631844,0.6813932078153677,0.2205824589364535,d20,0.2404475632918323,0.02297690137135211,0
0,a58,0.3542884980045782,0.6300510654409547,0.5239986064473413,d86,0.3533789480454132,0.0009095499591649792,0
0,a59,0.452362206712593,0.8165855510152408,0.0007153862857309,d29,0.4524106594962402,4.845278364723482e-05,0
0,a60,0.8314042202763289,0.2318095208499537,0.6130420416167789,d21,0.8367244379858754,0.005320217709546493,0
0,a61,0.570132973733792,0.4751297638770415,0.3445320037029595,d33,0.5713696095645261,0.0012366358307340786,0
0,a62,0.4015043998025338,0.7464748846869605,0.6928300970010376,d79,0.4078642791252231,0.006359879322689332,0
0,a63,0.757168964469907,0.560014390320428,0.513863480417323,d16,0.7571795782483717,1.0613778464674262e-05,0
0,a64,0.2111259065946964,0.3645489029824817,0.9585392484374124,d92,0.1977297954318764,0.013396111162819996,0
0,a65,0.5129197740032273,0.4175392135557914,0.657637571307451,d64,0.5114045779888319,0.0015151960143954257,0
0,a66,0.4715151726368332,0.6554913313054745,0.1623452652687003,d44,0.4704128653723852,0.001102307264447988,0
0,a67,0.7456086117923113,0.6654791414689945,0.6695950324621132,d78,0.7405289001624982,0.005079711629813133,0
0,a68,0.8084830247640787,0.2675710623503011,0.3719020902159961,d75,0.7913326451339235,0.0171503796301552,0
0,a69,0.4068532077574127,0.2006303413135218,0.3759486922612409,d79,0.4078642791252231,0.0010110713678104233,0
0,a70,0.5148382877271002,0.9509435259233054,0.589517218340905,d59,0.517835093703932,0.002996805976831829,0
0,a71,0.535841674160604,0.3666832400689159,0.9394593237743868,d81,0.5421396112737187,0.00629793711311466,0
0,a72,0.2355943246791651,0.0698803290251283,0.1074316404417282,d67,0.2372001047028663,0.001605780023701181,0
0,a73,0.8230938053068056,0.931480884969039,0.4058878639688098,d21,0.8367244379858754,0.01363063267906972,0
0,a74,0.7372737808732267,0.2062529799247919,0.2323176470108575,d78,0.7405289001624982,0.0032551192892714687,0
0,a75,0.7107923763130652,0.1847066440239851,0.2673810304756562,d30,0.7084058191016271,0.0023865572114381006,0
0,a76,0.7440321301039889,0.0216423153611722,0.824400522984684,d78,0.7405289001624982,0.003503229941490771,0
0,a77,0.4227591926957887,0.4336063684985353,0.9985711265946164,d84,0.4240016491622051,0.0012424564664164084,0
0,a78,0.4603821847115222,0.0096126664135004,0.1225347757739262,d54,0.4584662854409748,0.0019158992705474165,0
0,a79,0.2598833990199957,0.328899858509539,0.3816850766537272,d20,0.2404475632918323,0.019435835728163375,0
0,a80,0.5422941396981128,0.2223582843812114,0.2509985801592868,d81,0.5421396112737187,0.00015452842439411807,0
0,a81,0.6620441145057694,0.4212079829653982,0.9826930373233732,d60,0.6603820460614556,0.0016620684443138245,0
0,a82,0.4031703684989295,0.5391014816311128,0.8635825772586025,d79,0.4078642791252231,0.004693910626293596,0
0,a83,0.7078804049410393,0.4236905618325185,0.7060382589631095,d30,0.7084058191016271,0.0005254141605878226,0
0,a84,0.6905228794552745,0.521159075559682,0.4199556138835367,d65,0.6926779692927613,0.002155089837486801,0
