epoch,drep_id,opinion,stake,delegated_stake,indegree,avg_distance,Wprime,Wprime_share
0,d1,0.3862165995835288,0.4884693494414028,6.12322198078222,14,0.0014132631240386503,6.611691330223623,0.006374015506633781
0,d2,0.450241291355605,0.3770782987358936,5.4215278329499865,12,0.0012187147822363131,5.79860613168588,0.0055901589403111835
0,d3,0.6522591650467103,0.6274282350072956,9.373290158411859,18,0.001355122318457173,10.000718393419154,0.00964121446894215
0,d4,0.6443367495184003,0.6411853212437485,7.082300578546225,16,0.0018818976558819048,7.723485899789973,0.0074458434962758
0,d5,0.1615535697275935,0.5444230936121223,2.7632536692859713,8,0.004386737605004316,3.3076767628980934,0.0031887730271478953
0,d6,0.3904884089184546,0.195995144533855,1.059190074397327,3,0.001164117601796688,1.255185218931182,0.0012100640591904755
0,d7,0.4256883903597749,0.0645924756622676,9.277160153594288,17,0.0014002172960712045,9.341752629256556,0.009005937080853448
0,d8,0.5596628379581408,0.9857688480178474,1.846628086138904,4,0.0005936214587377586,2.832396934156751,0.002730578467377801
0,d9,0.3807477577498914,0.4645978847235158,5.338972455778012,9,0.0007585650368649691,5.803570340501528,0.005594944696691622
0,d10,0.6422725194213029,0.4258718268257104,6.750950964514472,12,0.0017183082247106407,7.176822791340182,0.006918831729372014
0,d11,0.5571269770041206,0.8816447243746165,10.685074333793903,19,0.0013564726081682675,11.56671905816852,0.011150920839365475
0,d12,0.131995409903569,0.4098458376430103,2.514256461556204,7,0.0031780970959893024,2.9241022991992143,0.0028189872253835077
0,d13,0.1437821171245273,0.1658120032268633,3.105928664085741,5,0.0036019155821857217,3.2717406673126046,0.0031541287554979615
0,d14,0.2388650567882838,0.2041415713138661,0.284163788467741,1,0.0005927943770741018,0.48830535978160705,0.00047075185149562633
0,d15,0.3702025489713947,0.5357815987985837,0.509294820871708,3,0.0002590142215026329,1.0450764196702917,0.0010075082111206863
0,d16,0.7571795782483717,0.6823319381851302,18.044889965907235,40,0.004332146720599092,18.727221904092364,0.018054019289617872
0,d17,0.3566808863944987,0.2205459956643096,3.450155702693858,10,0.0009224628967930137,3.6707016983581675,0.003538748011209799
0,d18,0.358541673495542,0.1464049330716936,15.612946003885304,30,0.0021957747024427985,15.759350936956997,0.015192836784056288
0,d19,0.3777742963178163,0.0153435184241378,6.12414817413819,14,0.0009427920217682914,6.139491692562328,0.005918790411820084
0,d20,0.2404475632918323,0.2676511989587375,42.34838807373219,87,0.018630099342994543,42.61603927269093,0.041084085990786695
0,d21,0.8367244379858754,0.1068950431605513,15.317257409827391,31,0.012622510550693458,15.424152452987942,0.014869687951494768
0,d22,0.4661514327285211,0.8659825989947968,3.7231680459436096,8,0.0009060940501542034,4.589150644938407,0.004424180729581409
0,d23,0.48181702785236,0.1760745289285016,3.4847672846882713,6,9.674287321802717e-05,3.660841813616773,0.00352924256773152
0,d24,0.3131050727943643,0.10508190786601,50.10434621611311,101,0.01602871840987133,50.209428123979116,0.0484045091425393
0,d25,0.8574098737683421,0.496608869306429,17.588398495823355,31,0.02795475913470272,18.085007365129783,0.017434890956868752
0,d26,0.4983399053567895,0.1129787309299515,16.756937214914327,29,0.0014326799197293826,16.86991594584428,0.01626347941303289
0,d27,0.3864079686083435,0.2682169375493792,1.7186205939653263,4,0.0011711216439296568,1.9868375315147055,0.0019154150734693154
0,d28,0.3377087472127748,0.8673533346226489,3.942477347198693,6,0.001478317967896418,4.809830681821342,0.004636927802431945
0,d29,0.4524106594962402,0.6112706779071959,11.523973618440758,19,0.001362106869454988,12.135244296347954,0.011699008840313609
